start,finish,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
2020/5/1 22:43,2020/5/1 23:08,CHINA,CHN,9,2,7,10,9,7,8,10,8,9,7,7,9,10,9,50,35,15,8,8,1,6,2,10,9,0,1,1,0,2,9,7,8,0,1,7,8,9,8,9,7,6,9,8,8,9,7,9,8,9,7,1,6,2,7,2,6,8,1,8,9,6,0,7,8,0,6,8,10,0,10,0,6,9,25,300,4,2,,65,3,1,5,,5,2,1,1,213,0
2020/5/1 22:46,2020/5/1 23:35,CHINA,CHN,8,1,9,10,10,10,9,10,10,9,8,10,9,10,9,80,15,5,9,10,1,10,8,10,10,1,2,3,4,0,10,9,9,0,0,10,9,10,9,9,9,0,10,9,10,9,10,10,9,9,0,0,9,9,10,9,9,9,0,10,9,10,0,10,9,0,10,9,10,10,60,4,5,9,50,3,4,1,,30,3,1,1,,5,1,1,1,213,0
2020/5/1 22:49,2020/5/1 23:16,CHINA,CHN,10,0,1,9,9,8,8,9,9,9,8,10,7,10,9,40,40,20,3,3,5,7,8,10,10,1,1,2,2,3,9,8,9,2,3,6,6,9,8,7,6,8,6,7,6,7,7,9,6,7,6,1,8,4,6,7,7,8,7,8,7,6,0,6,7,2,5,6,8,0,0,5,9,8,25,3,6,2,,32,3,1,1,,6,1,1,1,213,0
2020/5/1 23:11,2020/5/1 23:29,CHINA,CHN,9,1,9,9,9,9,8,7,8,8,9,8,8,9,9,50,50,0,7,4,7,9,9,10,9,1,2,3,2,2,9,9,9,1,3,3,3,6,4,3,4,6,7,5,6,7,7,8,8,8,3,2,8,6,8,6,7,8,8,8,8,3,1,7,7,1,5,5,7,10,60,1,11,7,25,3,2,1,,51,3,1,1,,4,1,1,1,213,0
2020/5/1 23:13,2020/5/1 23:35,CHINA,CHN,8,2,2,8,7,8,9,8,9,9,7,9,7,8,8,70,0,30,8,7,4,2,4,9,8,3,1,1,2,2,8,8,9,1,2,7,7,8,8,3,4,9,7,8,8,9,8,8,8,7,3,3,5,2,7,4,7,6,6,8,7,4,2,7,3,2,3,6,6,10,30,3,14,8,125,3,2,2,,46,3,1,1,,5,1,1,1,213,0
2020/5/1 23:18,2020/5/1 23:35,CHINA,CHN,8,3,8,9,9,9,8,7,8,8,4,7,8,9,9,70,23,7,8,8,7,5,7,10,10,2,1,2,1,4,9,7,8,3,3,9,10,8,9,8,7,6,8,8,9,7,9,7,9,7,4,3,9,5,6,5,9,7,7,8,7,7,3,8,7,3,7,8,9,10,20,6,4,8,50,3,5,2,,65,3,1,5,,2,1,1,1,213,0
2020/5/1 23:31,2020/5/1 23:46,CHINA,CHN,8,0,9,9,9,8,8,6,8,8,7,8,8,9,7,20,50,30,8,8,8,6,7,8,9,6,5,4,5,4,7,7,8,4,4,7,7,8,8,7,7,8,8,7,7,8,8,8,7,9,4,4,7,4,7,4,8,7,7,7,7,5,4,7,7,4,5,8,8,0,50,3,9,9,25,3,7,1,,28,3,1,1,,6,1,1,1,213,0
2020/5/1 23:48,2020/5/2 0:19,CHINA,CHN,1,1,9,9,9,9,9,8,8,9,10,10,7,10,10,40,40,20,3,5,4,3,2,10,10,2,1,2,1,9,8,7,7,2,6,3,4,6,6,6,5,7,7,6,7,5,5,8,6,6,4,8,9,6,6,6,7,6,5,9,9,7,1,7,7,3,7,6,9,10,20,2,12,8,50,300,7,1,,60,3,1,5,,4,1,1,1,213,0
2020/5/1 23:54,2020/5/2 0:09,CHINA,CHN,10,4,9,8,6,9,7,9,10,8,5,10,7,6,9,20,50,30,8,6,0,5,8,10,10,3,3,1,5,3,9,9,8,0,10,7,10,10,9,6,1,3,10,7,10,8,7,8,5,8,4,5,8,4,7,1,9,6,3,8,9,3,2,5,5,1,6,7,10,50,60,2,10,10,25,300,4,2,,23,1,0,4,,2,1,1,1,213,0
2020/5/2 0:03,2020/5/2 0:32,CHINA,CHN,7,1,8,9,10,4,3,9,1,6,7,7,7,10,10,70,20,10,6,6,6,3,6,10,10,0,1,2,0,2,10,9,10,1,8,6,7,7,10,0,8,9,7,7,7,7,8,8,6,10,4,3,6,1,8,2,5,3,1,8,10,5,2,8,8,3,7,10,8,0,0,2,6,8,125,3,5,1,,26,1,0,1,,5,1,1,1,213,0
