RecordedDate,Duration_sec,Country,Language,Informed.consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self.control_1,trait_self.control_2,trait_self.control_3,trait_self.control_4,self.esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
24/04/2020 9:27,2632,Pakistan,EN,Agree,10,0,10,10,10,9,9,10,NA,10,8,10,10,10,10,0,80,20,8,8,10,10,10,10,10,3,2,2,1,5,10,10,10,5,0,10,10,10,10,10,10,10,10,10,8,10,10,10,9,9,3,6,5,7,7,9,0,9,8,0,10,10,3,0,8,8,0,2,7,10,40,60,NA,10,9,100,5,4,2,NA,30,3,0,6,NA,8,1,No,No,213
24/04/2020 10:53,2336,Pakistan,EN,Agree,10,1,10,1,2,0,0,0,0,0,10,10,10,10,10,0,100,0,8,7,8,7,9,10,10,8,8,9,9,3,10,10,10,0,6,7,8,10,9,8,7,10,10,10,8,8,8,9,3,7,9,10,6,0,8,8,2,8,6,1,9,9,9,1,8,7,1,9,6,9,0,20,5,16,6,25,3,4,1,NA,27,1,0,2,NA,3,1,No,No,213
24/04/2020 13:32,1076,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,60,40,8,3,0,10,0,10,10,0,0,0,0,0,10,10,10,0,0,7,9,10,10,0,2,3,10,10,10,10,10,10,10,10,0,0,10,0,0,2,0,0,8,0,10,9,0,0,10,10,2,7,9,8,100,100,2,10,8,25,3,7,1,NA,25,3,0,5,NA,7,2,No,No,213
24/04/2020 15:40,1447,Pakistan,EN,Agree,9,9,7,5,6,10,10,10,8,8,10,10,10,10,10,0,100,0,9,10,9,10,7,10,10,10,10,10,10,3,10,10,10,5,6,9,10,10,10,7,10,8,10,10,10,10,10,10,8,10,1,0,8,4,9,9,1,9,9,5,10,10,10,0,10,10,0,9,9,10,20,20,9,16,10,3,100,25,1,NA,52,2,4,6,NA,5,1,No,No,213
24/04/2020 17:35,2836,Pakistan,EN,Agree,10,3,10,10,10,10,10,10,10,5,10,10,10,10,5,30,65,5,0,8,10,10,10,10,10,8,4,7,6,10,10,5,10,5,10,10,5,10,5,5,5,5,9,8,8,5,0,10,5,10,10,0,5,0,10,7,8,10,7,0,5,5,5,0,5,0,5,0,0,0,0,0,5,16,9,50,5,4,1,NA,21,3,0,2,NA,5,1,No,No,213
25/04/2020 1:43,6976,Pakistan,EN,Agree,9,7,9,10,10,9,9,10,9,10,8,8,8,9,9,60,20,20,3,5,6,6,4,8,8,3,3,3,3,5,5,4,8,6,3,6,3,3,3,6,5,5,6,6,5,5,5,6,6,7,7,5,8,10,5,5,3,4,4,4,7,7,5,1,5,5,1,6,5,5,40,70,5,4,8,50,3,1,1,NA,40,2,4,6,NA,3,1,No,No,213
25/04/2020 2:21,960,Pakistan,EN,Agree,9,0,10,10,10,10,10,10,7,10,9,8,8,10,10,55,45,0,4,6,0,7,10,10,10,8,3,0,6,0,10,10,10,0,0,3,3,3,7,3,7,7,6,3,9,9,9,8,8,8,7,8,1,0,2,10,0,7,6,0,10,10,0,0,7,6,0,0,7,10,60,60,7,11,2,50,6,16,2,NA,22,3,0,2,NA,5,1,No,No,213
25/04/2020 3:16,2565,Pakistan,EN,Agree,7,1,7,2,1,8,8,8,6,7,10,10,10,10,10,0,100,0,6,6,9,2,8,9,8,1,1,1,1,6,8,9,9,8,1,8,8,9,8,NA,6,8,7,4,8,7,7,8,6,2,7,8,8,0,7,7,2,6,5,NA,9,9,1,NA,6,7,4,6,7,9,70,70,1,1,6,100,300,16,1,NA,37,2,1,2,NA,5,1,No,No,213
25/04/2020 10:05,1906,Pakistan,EN,Agree,9,6,10,10,10,10,10,10,6,10,10,10,10,10,9,80,10,10,7,9,4,4,4,9,10,1,1,1,1,1,10,9,10,9,1,8,10,6,7,4,6,9,10,9,9,7,7,9,8,8,4,4,7,0,9,5,1,7,5,3,4,2,4,0,4,2,4,5,8,6,30,20,5,9,3,50,3,7,1,NA,35,2,2,6,NA,6,1,Yes,No,213
25/04/2020 10:37,1708,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,6,9,10,10,8,10,10,80,10,10,6,4,10,8,10,10,10,3,3,3,0,2,10,10,10,0,0,8,8,9,9,6,8,6,10,10,7,7,8,10,8,9,4,7,10,0,1,7,1,7,6,0,10,10,7,0,9,9,0,9,6,10,70,80,1,14,8,50,300,4,1,NA,28,3,0,2,NA,8,1,No,No,213
25/04/2020 15:48,13031,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,10,10,10,8,10,10,10,0,100,0,1,3,9,10,10,10,10,10,8,10,10,5,10,10,10,5,5,10,10,9,9,9,9,8,9,10,10,10,10,10,9,10,9,1,10,0,10,10,8,10,10,5,10,10,10,0,10,10,0,10,10,10,20,20,5,10,9,50,300,4,1,NA,33,2,0,6,NA,5,1,No,No,213
25/04/2020 22:57,1518,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,10,10,10,10,8,10,10,75,25,0,5,8,5,10,10,10,10,10,5,0,10,10,10,10,10,0,0,10,4,5,10,5,5,5,10,10,10,10,10,10,10,10,0,0,10,0,10,10,0,5,0,0,10,10,0,0,10,10,0,5,10,10,60,50,5,15,2,50,300,16,1,NA,30,2,2,6,NA,5,1,No,No,213
26/04/2020 7:01,1524,Pakistan,EN,Agree,6,3,5,8,4,4,4,6,5,4,9,9,6,7,10,0,65,35,4,5,8,8,8,10,10,6,5,10,5,2,10,8,9,5,2,5,7,7,8,7,8,6,7,10,8,8,9,10,4,7,5,4,8,0,2,6,2,5,2,5,9,9,5,0,6,6,0,6,6,10,10,10,5,16,7,50,300,16,1,NA,25,1,0,2,NA,5,1,No,No,213
26/04/2020 7:04,834,Pakistan,EN,Agree,9,0,10,10,10,10,7,9,7,10,10,8,10,10,10,50,25,25,3,2,10,10,10,10,10,6,3,6,5,7,7,10,10,3,1,10,8,8,6,5,6,6,6,8,8,8,3,7,6,7,1,10,3,8,0,2,3,1,1,0,10,8,1,2,1,6,2,2,3,10,70,70,0,1,7,50,300,4,2,NA,21,3,0,2,NA,5,1,Yes,No,213
26/04/2020 7:14,1744,Pakistan,EN,Agree,7,10,5,10,9,10,10,10,3,0,10,7,10,10,10,0,70,30,4,4,10,10,10,10,10,4,6,9,10,4,10,8,10,NA,8,9,9,8,8,6,7,4,7,NA,8,8,9,10,6,10,8,10,6,0,7,5,2,10,3,3,10,9,8,0,3,0,4,4,4,9,20,60,1,16,4,50,3,NA,2,NA,23,3,0,2,NA,0,1,No,Yes,213
26/04/2020 7:14,1781,Pakistan,EN,Agree,10,3,4,10,10,10,10,10,10,10,6,0,0,0,0,20,40,40,3,7,10,8,10,10,5,8,8,6,10,5,10,10,10,10,0,8,8,7,10,10,7,9,10,5,5,6,7,4,7,9,10,0,7,7,4,5,4,10,9,2,10,10,7,1,7,7,0,7,7,10,30,60,10,6,9,50,300,4,1,NA,25,3,0,2,NA,5,2,No,No,213
26/04/2020 7:17,1225,Pakistan,EN,Agree,10,3,8,8,10,9,9,10,1,8,10,10,10,10,10,0,100,0,4,6,5,7,7,10,10,10,8,5,9,7,10,10,10,0,0,5,5,5,5,5,5,5,8,8,7,6,6,8,3,4,7,8,5,0,2,5,0,0,0,0,10,9,7,0,5,5,0,0,5,9,30,70,7,1,7,50,3,NA,1,NA,26,1,0,2,NA,5,1,No,No,213
26/04/2020 7:18,1258,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,7,10,10,10,10,10,10,30,50,20,4,7,3,1,0,10,10,10,7,7,7,5,10,10,10,0,1,10,10,10,10,7,2,2,10,10,8,7,10,10,10,10,6,10,8,9,4,7,0,7,4,0,10,10,10,0,10,4,0,5,10,8,0,40,4,9,3,50,300,4,2,NA,20,3,0,2,NA,5,1,No,Yes,213
26/04/2020 7:23,1526,Pakistan,EN,Agree,10,0,9,9,10,10,10,10,10,10,10,10,10,10,10,50,50,0,4,4,7,6,6,6,10,6,0,4,6,6,4,6,6,6,2,9,4,4,6,7,6,7,4,10,6,10,6,10,3,2,10,10,4,4,10,9,4,8,7,5,10,10,4,0,5,9,4,8,6,10,20,60,4,7,4,25,3,4,2,NA,23,1,0,2,NA,6,1,No,Yes,213
26/04/2020 7:26,1728,Pakistan,EN,Agree,10,0,10,6,10,4,4,6,4,NA,7,10,10,10,10,50,20,30,8,2,5,6,6,10,10,6,4,7,6,0,10,10,10,6,0,8,7,8,8,8,10,2,9,10,7,4,5,6,5,8,7,9,3,7,8,6,4,10,3,6,9,7,3,3,6,7,0,7,7,8,30,60,4,6,5,50,900,8,2,NA,20,3,0,2,NA,3,1,No,No,213
26/04/2020 7:26,935,Pakistan,EN,Agree,9,1,8,9,10,8,10,7,4,8,7,7,9,9,9,20,80,0,6,7,8,9,3,7,5,10,5,9,9,9,8,10,8,6,2,7,2,2,3,4,7,10,8,8,7,3,2,5,7,10,7,3,8,8,NA,7,2,7,3,3,9,7,7,2,8,8,2,7,3,9,20,30,NA,9,6,50,300,16,1,NA,20,NA,NA,5,NA,5,1,No,No,213
26/04/2020 7:30,611,Pakistan,EN,Agree,10,10,10,10,10,10,10,10,9,10,10,6,10,10,10,0,100,0,2,9,10,10,10,10,10,10,10,8,10,10,10,9,10,10,8,10,10,10,10,8,8,8,10,9,10,8,9,10,10,10,10,0,10,9,10,9,9,9,10,10,10,10,10,9,9,10,10,10,10,10,10,80,10,16,9,50,100,16,1,NA,21,1,0,2,NA,9,1,Yes,No,213
26/04/2020 7:32,1359,Pakistan,EN,Agree,10,0,10,10,10,9,10,10,7,9,10,10,10,10,10,50,40,10,2,4,8,10,8,10,10,7,6,5,1,8,10,10,10,2,2,8,3,2,7,7,8,8,5,3,7,6,7,10,10,9,4,3,3,10,7,9,0,7,3,6,10,9,8,0,3,7,0,6,8,10,10,30,6,16,8,50,300,8,2,NA,21,3,0,2,NA,8,1,No,No,213
26/04/2020 7:32,163517,Pakistan,EN,Agree,5,6,4,6,4,5,6,6,5,5,10,10,10,10,10,0,60,40,8,7,5,5,5,10,10,3,1,6,7,2,10,8,8,1,2,7,6,2,3,7,3,3,5,5,6,5,6,6,5,5,5,5,5,7,8,7,8,3,3,3,7,4,4,4,5,5,5,5,5,5,30,70,5,16,5,50,3,5,1,NA,35,2,2,6,NA,5,1,No,No,213
26/04/2020 7:45,550,Pakistan,EN,Agree,8,7,8,8,8,7,7,10,8,10,10,10,10,10,10,30,40,30,9,7,7,8,8,7,7,8,8,8,7,4,8,7,6,6,6,7,8,8,8,8,8,8,9,7,1,2,4,3,9,7,8,1,7,9,8,8,8,2,2,2,9,9,8,8,8,7,7,8,8,8,0,80,4,13,4,NA,NA,NA,1,NA,22,3,0,2,NA,8,1,No,No,213
26/04/2020 8:09,2910,Pakistan,EN,Agree,10,0,10,10,10,10,4,10,10,0,10,10,10,10,10,20,70,10,0,2,0,3,10,10,10,0,0,0,0,7,10,10,10,0,10,7,7,7,3,3,10,10,10,10,7,7,9,10,10,10,8,7,7,0,10,10,0,10,7,10,10,0,0,0,0,0,0,0,10,10,0,30,7,1,7,50,300,4,2,NA,22,3,0,2,NA,8,2,No,No,213
26/04/2020 8:12,1011,Pakistan,EN,Agree,8,6,8,6,6,10,10,9,7,10,10,10,10,10,10,0,100,0,2,1,2,8,8,10,10,9,3,7,8,1,8,8,8,8,1,7,8,8,7,6,7,7,8,8,3,10,8,8,8,8,8,6,7,7,7,10,0,6,7,0,7,6,3,2,8,6,3,7,7,7,50,30,8,1,8,50,300,4,1,NA,20,3,0,2,NA,5,1,No,No,213
26/04/2020 8:20,722,Pakistan,EN,Agree,6,7,6,9,9,6,8,8,8,8,7,7,7,6,4,30,30,40,1,6,8,7,8,7,4,6,6,5,4,7,3,6,6,6,6,6,4,7,6,7,4,5,6,5,7,5,3,7,5,7,7,3,7,5,3,7,3,7,7,7,7,8,3,7,6,3,7,6,6,7,70,70,6,16,4,50,3,16,1,NA,24,1,0,5,NA,4,1,Yes,No,213
