RecordDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1_1;psych_wellbeing2_1;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;conspiracy_theories_4;open_mindness_1;open_mindness_2;open_mindness_3;open_mindness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self_control_1;trait_self_control_2;trait_self_control_3;trait_self_control_4;self_esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;moral_identity_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;ladder;urban;tested_positive;know_tested_positive;Attcheck_nobots;Attcheck2
01/05/20;1166;TURKEY;Turkish;10;0;10;10;10;10;10;10;5;10;10;4;0;4;10;90;5;5;3;6;0;10;0;10;10;0;0;0;0;10;10;10;10;10;10;5;3;8;8;2;10;0;8;10;7;8;7;9;0;9;2;6;6;10;0;10;8;9;10;10;10;3;0;8;10;0;7;8;10;0;100;10;5;9;50;300;10;1; ;20;1;0;4; ;3;1;1;1;213;0
01/05/20;357;TURKEY;Turkish;3;7;5;1;2;8;9;7;7;7;8;2;5;8;3;35;40;25;8;10;0;9;5;7;2;6;8;4;10;2;4;6;6;8;2;7;2;8;2;8;2;4;4;6;7;2;8;10;7;2;9;6;10;8;6;3;6;7;9;4;2;8;7;7;6;8;3;7;1;60;20;2;7;7;300;30;10;1; ;24;1;1997;4; ;6;2;2;1;213;10
02/05/20;544;TURKEY;Turkish;10;10;10;10;4;9;9;3;10;3;10;9;10;10;10;96;4;0;10;10;6;10;3;9;9;10;3;10;3;10;9;3;10;9;10;10;10;10;10;8;9;10;9;10;10;10;9;10;9;9;10;9;9;9;10;3;9;10;8;10;10;10;10;10;2;5;9;9;3;100;100;10;4;10; ; ;100;2; ;28;1;0;4; ;6;1;1;1;123;10
08/05/20;471;TURKEY;Turkish;9;3;9;2;8;10;9;8;10;10;10;10;10;10;10;0;50;50;9;9;10;5;10;10;10;5;5;5;5;5;10;10;10;0;0;8;9;3;9;4;10;3;9;9;8;8;6;8;10;10;10;0;10;10;10;10;10;10;5;8;8;2;8;8;3;8;2;10;8;40;60;9;4;8;47;49;103;2; ;48;3;2;1; ;1;1;1;1;213;10
02/05/20;924;TURKEY;Turkish;8;6;6;10;10;8;8;10;10;8;9;4;4;4;5;70;15;15;3;3;5;5;5;6;6;0;0;0;0;6;9;9;9;0;0;6;6;10;5;0;4;7;4;4;7;8;7;7;8;5;7;5;4;4;6;4;4;4;4;7;7;3;0;5;1;2;0;4;7;20;20;5;16;5;50;3;12;1; ;36;1;0;1; ;8;1;1;2;213;0
02/05/20;817;TURKEY;Turkish;9;0;10;10;10;10;10;10;10;10;10;10;8;10;8;100;0;0;10;6;10;10;10;10;10;5;10;10;10;10;8;8;8;8;10;10;8;9;8;10;10;8;10;10;10;9;8;10;10;10;10;8;10;5;4;6;3;7;2;10;10;9;7;10;10;7;10;10;10;60;80;10;7; ;50;20;12;1; ;40;1;0;1; ;6;1;1;1;213;10
05/05/20;679;TURKEY;Turkish;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;100;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;50;50;5;4;5;312;32;1223;2; ;23;2;32;2; ;6;2;1;2;213;5
08/05/20;944;TURKEY;Turkish;10;0;4;10;10;10;10;10;0;10;10;10;10;10;0;50;25;25;1;5;10;10;10;10;10;10;10;10;7;10;10;10;8;1;10;7;3;10;9;7;3;7;0;0;10;10;10;10;0;10;9;10;6;10;10;0;10;10;1;10;7;2;0;8;10;8;10;10;3;30;100;3;4;4;50;300;14;2; ;20;1;0;4; ;6;1;1;2;213;0
08/05/20;976;TURKEY;Turkish;10;2;1;0;0;10;10;10;10;10;10;10;10;10;10;50;30;20;5;6;9;9;10;10;10;10;10;0;7;6;0;10;10;4;0;10;10;10;8;9;10;10;10;10;10;10;10;10;10;10;0;0;10;0;7;0;5;7;1;10;10;10;2;10;10;0;10;10;10;20;40;0;16;10;50;900;16;2; ;50;3;3;1; ;5;1;1;1;213;0
08/05/20;1285;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;80;10;10;0;4;10;4;5;10;10;4;4;4;4;10;10;10;10;0;0;5;10;10;10;10;10;9;0;10;10;10;10;10;10;10;4;10;10;7;7;2;9;9;0;10;10;4;0;10;10;0;5;9;10;0;70;4;1;6;50;900;16;2; ;50;1;1;5; ;7;1;1;1;213;0
04/05/20;435;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;25;50;25;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;100;100;10;10;10;50;900;16;2; ;32;3;2;1; ;6;1;1;1;213;10
04/05/20;649;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;50;25;25;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;100;100;6;10;10;50;900;16;2; ;32;3;2;1; ;6;1;1;1;213;10
02/05/20;1272;TURKEY;Turkish;10;0;7;10;10;10;10;10;9;10;10;10;10;10;10;20;40;40;9;9;10;1;6;10;10;6;6;6;6;7;1;7;9;5;4;7;6;4;8;8;7;5;8;7;7;8;8;10;7;7;2;1;9;7;8;3;8;7;3;10;8;9;0;8;8;0;7;8;10;0;20;7;2;7;50;360;16;2; ;33;3;3;1; ;8;1;1;1;213;0
02/05/20;1253;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;20;40;40;9;9;8;9;6;10;10;6;6;6;6;7;2;6;9;6;4;8;8;6;6;6;6;5;8;10;8;8;8;10;8;9;1;1;9;7;9;2;8;7;2;9;9;9;0;8;7;0;9;7;10;0;20;7;2;8;50;360;16;2; ;35;3;3;6;Ev hanımı;8;1;1;1;213;0
02/05/20;2680;TURKEY;Turkish;10;0;8;9;9;7;6;7;7;7;10;0;0;1;2;100;0;0;9;9;7;8;7;9;9;7;6;7;10;9;0;7;7;6;7;6;6;6;6;6;7;6;8;8;8;7;7;10;8;7;1;8;9;7;8;8;7;6;2;9;7;6;3;7;6;7;6;6;7;40;40;4;16;10;50;300;16;2; ;55;3;2;5; ;6;1;1;1;213;9
02/05/20;2047;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;50;0;5;5;10;7;5;10;10;10;10;5;5;5;0;10;10;0;0;10;6;10;10;5;10;5;6;7;5;3;10;10;10;10;7;0;10;6;5;0;10;10;0;10;10;0;0;10;8;0;0;0;5;60;70;3;16;10;50;300;16;2; ;53;1;2;6;ev hanımı;6;1;1;1;213;0
02/05/20;512;TURKEY;Turkish;10;1;7;10;10;9;10;10;10;8;10;10;10;10;10;20;30;50;2;3;10;9;10;10;10;6;7;6;8;10;7;1;10;8;10;9;10;9;9;10;10;8;10;10;7;10;8;8;9;10;0;0;10;10;9;1;8;8;1;9;3;10;10;4;9;10;10;5;10;60;90;8;12;9;50;300;16;1; ;34;3;0;1; ;2;1;1;2;213;0
08/05/20;1290;TURKEY;Turkish;8;5;9;9;9;7;7;10;9;10;9;9;9;9;9;50;20;30;8;7;5;5;6;7;8;5;5;5;6;7;9;7;7;3;3;6;8;9;9;6;9;9;8;8;6;6;6;6;8;8;2;0;9;5;6;1;8;8;0;9;9;9;3;7;8;0;5;5;7;50;80;3;16;8;50;300;16;2; ;31;3;2;1; ;6;1;1;1;213;6
02/05/20;1035;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;7;7;6;8;30;20;50;3;10;10;10;10;10;10;10;10;10;10;4;5;7;6;3;3;8;10;7;7;7;8;9;6;8;7;3;5;10;6;6;4;2;8;10;7;10;7;7;1;7;9;6;2;8;7;2;6;7;6;60;30;0;4;7;50;300;16;1; ;22;1;0;4; ;7;1;1;1;213;6
02/05/20;707;TURKEY;Turkish;10;0;9;10;10;10;10;10;10;10;9;10;10;10;10;20;50;30;7;7;8;6;6;10;10;4;1;3;4;7;9;10;7;0;7;8;6;10;10;7;4;1;7;7;10;7;10;8;8;8;4;1;8;4;7;0;10;8;0;9;8;4;0;6;7;7;7;5;6;10;20;7;3;8;250;300;16;2; ;29;3;2;1; ;6;1;1;2;213;7
02/05/20;566;TURKEY;Turkish;10;0;1;10;0;6;3;8;2;10;10;0;2;8;4;50;30;20;3;7;0;10;0;10;10;0;0;1;3;4;6;4;10;10;1;2;2;2;6;7;7;8;8;10;2;7;6;4;6;10;1;1;10;7;10;1;2;10;0;7;3;3;6;6;2;10;9;8;7;30;90;4;16;9;25;300;16;1; ;43;3;4;5; ;1;2;2;2;213;8
