screening,Q109,physical_contact1,physical_contact2,physical_contact3,physical_contact4,physical_contact5,physical_hygiene1,physical_hygiene2,physical_hygiene3,physical_hygiene4,physical_hygiene5,policy_support1,policy_support2,policy_support3,policy_support4,policy_support5,generosity1,generosity2,generosity3,generosity4,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity1,national_identity2,conspiracy_theories1,conspiracy_theories2,conspiracy_theories3,conspiracy_theories4,open-mindedness1,open-mindedness2,open-mindedness3,open-mindedness4,open-mindedness5,open-mindedness6,morality_as_cooperation1,morality_as_cooperation2,morality_as_cooperation3,morality_as_cooperation4,morality_as_cooperation5,morality_as_cooperation6,morality_as_cooperation7,trait_optimism1,trait_optimism2,social_belonging1,social_belonging2,social_belonging3,social_belonging4,trait_self-control1,trait_self-control2,trait_self-control3,trait_self-control4,self_esteem,Q108,narcissism1,narcissism2,narcissism3,narcissism4,narcissism5,narcissism6,moral_identity1,moral_identity2,moral_identity3,moral_identity4,moral_identity5,moral_identity6,moral_identity7,moral_identity8,moral_identity9,moral_identity10,risk_perception1,risk_perception2,political_ideology,moral_circle,moral_circle1,health,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,sex,Other (please specify),age,marital,children,employment,Other (please specify),ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q110
1,1,70,20,40,70,100,80,80,90,20,90,90,90,60,90,90,70,30,,,,60,,,,,,0,0,0,0,3,8,8,8,2,2,6,8,,7,5,8,8,,,7,6,7,6,6,5,7,4,2,,3,3,3,3,3,2,10,6,,0,,7,1,6,,6,70,70,2,,11,8,25,3,7,4,24,20,2,,38,2,0,1,,,,3,1,1,2,213,
1,1,90,90,100,100,100,90,90,100,0,100,100,100,100,100,100,10,5,5,20,,,7,,,10,10,1,1,0,1,8,10,10,10,1,0,10,8,8,8,5,6,5,9,10,6,5,7,8,10,10,0,1,10,,1,,1,8,1,1,10,10,9,0,7,10,0,9,10,10,10,60,5,,3,7,,,,,,,2,,30,3,1,1,,,,5,1,1,1,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,20,30,0,0,100,0,0,100,100,0,100,100,100,,0,,80,90,0,7,,9,,10,0,0,0,7,10,8,9,0,0,8,8,8,9,5,6,7,10,10,7,4,8,10,4,10,7,3,9,,2,8,,8,10,4,10,10,,2,10,10,0,8,9,0,70,80,,,14,8,0,3,3,4,25,15,2,,49,3,0,1,,,,3,1,1,1,213,
1,1,80,60,70,60,0,90,100,100,80,100,30,40,0,50,30,0,50,50,,50,70,,6,6,5,7,0,0,0,0,8,10,9,8,3,5,10,7,10,4,7,8,4,7,9,7,9,8,10,2,7,6,3,9,,3,7,3,,6,2,10,9,5,0,6,0,2,8,0,9,50,0,7,,4,7,50,3,2,4,25,20,1,,26,1,0,1,,,,4,1,2,2,213,
1,1,90,70,70,70,80,70,70,60,50,60,80,80,70,80,70,40,35,25,,70,60,7,6,6,7,6,8,8,6,6,1,9,9,9,1,1,7,7,6,8,6,4,4,8,6,9,7,6,8,6,7,6,6,8,,4,4,4,6,5,2,8,7,6,0,6,6,1,6,6,8,40,40,6,,16,8,150,300,4,4,13,,2,,24,2,1,6,Full-time student and employed full-time ,,,5,1,1,1,Two hundred and thirteen ,
1,1,80,60,60,70,80,60,70,60,60,60,20,60,60,70,80,50,35,15,100,60,60,7,6,5,8,7,8,9,7,6,0,9,10,9,2,2,7,8,6,9,5,2,5,9,6,9,6,7,8,7,7,6,7,8,,4,5,4,6,6,2,9,8,6,0,6,6,1,6,6,8,40,40,6,,16,8,150,300,4,4,13,,,,,,,,,,,,,,,,
1,1,100,30,100,100,100,100,100,100,100,100,100,100,100,70,100,,100,,,80,70,,,0,10,9,0,0,0,0,0,10,10,10,0,0,0,0,0,6,0,0,0,9,,10,10,10,10,10,10,0,0,9,,0,0,0,0,0,0,9,9,5,0,5,9,3,0,0,5,70,90,7,,16,,,,,,,,,,,,,,,,,,,,,,
1,1,50,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,73,0,,,,,,,10,10,5,1,5,,4,7,7,7,3,3,5,5,,5,5,,,7,6,,,,,,,,,,,2,2,1,1,1,2,10,7,,,,,,6,5,6,10,50,5,,16,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,80,100,,,,,,30,30,10,70,30,,,,,,,,,,8,6,,,,,0,10,10,10,0,0,8,7,7,10,7,7,10,10,10,8,10,8,10,10,7,0,0,7,,3,6,0,4,1,0,,,,,,,,,,,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,80,80,90,60,80,100,40,50,60,80,50,80,80,20,80,0,,70,60,4,5,5,7,6,0,0,0,0,3,10,9,9,1,3,5,7,8,5,5,4,6,8,8,8,5,7,8,6,8,5,3,8,,2,4,3,5,3,3,10,8,5,0,6,8,3,6,7,8,80,80,4,,11,9,50,3,7,4,25,15,2,,35,2,0,1,,,,2,1,1,1,213,
1,1,70,0,70,70,90,80,80,90,,80,90,50,80,90,70,70,20,10,30,60,50,5,5,5,8,8,4,4,4,4,4,8,8,8,2,3,7,9,9,7,6,8,1,6,6,6,5,5,4,8,8,2,2,8,,3,5,4,4,6,3,8,8,5,2,8,5,1,4,7,7,,,8,,7,9,50,300,6,4,13,18,2,,30,1,1,6,Structurally unemployed ,,,7,1,1,1,213,
1,1,100,0,100,100,100,60,60,,,60,100,100,80,100,100,30,100,,,60,80,,6,2,9,7,1,1,0,0,3,10,9,9,0,0,7,8,,7,,,7,7,7,6,7,7,9,4,7,6,,4,,3,1,2,1,1,2,9,8,,0,6,7,2,,7,8,20,30,1,,11,7,503,3,7,4,25,15,1,,43,3,2,1,,,,2,1,1,1,213,
1,1,100,0,100,100,100,70,70,,90,90,90,50,50,100,100,,,,,90,50,,,,,,5,5,5,5,,,,,,,,,,,,,,8,9,,,,,10,8,5,2,10,,1,7,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,80,90,100,90,100,100,100,100,100,50,91,10,0,10,80,50,10,10,10,10,7,10,0,0,0,10,8,10,10,0,8,10,10,10,10,8,6,0,10,10,,6,,8,8,4,7,8,6,,9,10,7,10,6,8,10,10,10,0,,10,0,10,10,10,0,40,2,,9,8,49,300,4,4,0,0,2,,38,3,2,1,,,,7,1,1,1,213,
1,1,100,10,100,100,100,20,20,70,20,80,100,30,80,90,90,0,85,25,100,40,40,4,7,5,10,10,6,6,2,2,5,10,10,10,0,0,7,7,7,4,4,3,1,10,10,7,6,6,8,7,6,3,1,7,,4,6,1,3,1,7,7,8,8,2,3,3,2,7,9,10,10,10,4,,16,8,50,300,4,8,13,20,2,,37,1,2,1,,,,5,1,1,2,213,
1,1,100,0,100,100,100,100,100,100,,,80,80,30,90,80,0,100,,,70,70,,,,6,,0,0,0,0,2,10,10,10,0,,,,6,,,6,6,8,9,7,6,8,8,4,6,6,,8,,,,3,,,,7,6,,,,,,,,,20,30,2,,11,7,25,300,6,4,13,15,2,,62,1,0,1,,,,6,1,1,1,213,
1,1,90,60,90,70,90,70,80,60,30,70,,,,,,50,40,10,,60,50,7,5,5,10,8,,,,,0,10,10,10,0,0,,,,,,,,,,9,6,7,8,6,6,8,8,8,,4,5,1,7,1,0,9,8,8,0,7,7,0,6,4,8,40,40,6,,16,6,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,80,90,90,60,60,40,40,40,60,60,60,70,50,50,40,10,50,70,60,5,5,5,7,3,5,5,2,5,5,9,9,10,1,5,5,5,9,9,5,9,1,8,6,7,6,7,8,9,4,8,3,5,,1,2,2,3,1,1,10,8,5,0,7,7,1,5,3,10,0,50,5,,16,6,50,300,16,8,13,20,2,,34,1,0,3,,,,6,1,1,2,213,
1,1,90,0,90,100,100,90,90,90,90,90,80,80,80,80,90,20,70,10,80,90,90,7,7,6,10,10,5,2,2,2,7,8,8,8,1,8,6,7,8,8,6,5,7,9,9,9,7,5,9,8,8,3,3,8,,8,5,2,6,2,5,9,9,5,0,9,9,1,9,9,9,10,60,5,,16,7,50,1,,16,13,20,2,,59,3,2,1,,,,6,1,1,1,213,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,90,100,100,100,100,100,100,60,100,80,100,0,0,0,80,70,5,5,5,10,7,0,0,0,0,2,10,10,9,0,0,8,6,7,6,6,5,7,8,8,4,8,8,8,8,8,2,7,8,,3,5,1,6,5,1,10,10,5,0,8,5,0,5,7,10,100,100,5,,12,9,25,3,7,4,25,15,2,,33,3,0,1,,,,4,1,1,1,213,
1,1,100,0,100,100,100,100,100,100,100,100,80,80,,80,80,75,15,10,,70,70,4,6,7,8,8,8,6,3,3,0,10,10,10,0,0,8,8,10,9,9,10,2,7,7,8,8,8,10,10,10,0,0,7,,8,6,4,7,2,0,10,10,10,0,10,8,0,2,2,6,70,70,,,14,8,50,300,7,4,25,20,1,,32,2,0,6,Freelancer ,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,0,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,10,100,100,100,80,80,90,30,80,90,80,70,90,100,50,40,10,100,40,60,6,7,1,6,2,0,0,0,0,6,9,8,7,1,1,6,6,6,6,5,3,1,7,7,4,3,3,6,3,7,6,4,6,,6,7,2,6,6,2,9,8,8,0,6,6,1,6,6,7,50,40,3,,16,8,50,300,12,4,26,20,2,,33,2,0,1,,,,2,1,1,1,213,
1,1,100,0,30,100,100,100,100,100,100,100,70,100,100,100,100,54,92,52,,60,80,7,10,7,10,10,2,2,2,2,10,10,8,10,0,0,7,7,7,7,7,7,,10,10,10,10,10,10,10,10,10,7,10,,3,7,2,8,5,1,9,10,,2,10,10,2,7,7,10,40,50,6,,,8,,,,,,,2,,31,2,4,1,,,,,,1,1,,
