RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,marit_status_other,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27.04.2020 18:07:02,1633,CROATIA,HR,10,0,10,10,10,9,9,10,0,6,10,10,5,10,10,80,10,10,7,6,0,0,0,2,0,7,5,7,9,5,10,10,10,0,9,10,5,10,7,10,10,10,7,8,2,2,5,5,10,10,5,0,10,5,5,5,10,5,5,10,10,5,0,10,5,0,0,8,10,20,40,0,16,4,30,3,7,2,,59,3,,3,1,,6,1,1,2,213,0
27.04.2020 18:37:15,1758,CROATIA,HR,10,0,10,10,10,10,10,10,8,10,10,10,10,10,10,36,32,32,7,7,8,7,7,10,10,0,0,0,0,1,9,9,9,0,1,9,9,10,9,8,2,8,8,8,8,8,8,9,7,7,2,2,8,5,6,4,4,5,2,5,6,5,0,6,5,5,5,6,6,20,20,8,5,5,25,3,4,1,,68,3,,3,5,,7,1,1,1,213,0
27.04.2020 18:40:39,1327,CROATIA,HR,10,1,10,10,10,10,10,10,10,10,10,10,7,10,10,60,30,10,3,5,5,3,5,7,5,1,1,0,2,8,10,8,10,0,0,10,10,10,8,7,10,9,3,6,6,8,5,9,5,5,10,4,7,6,6,7,5,4,0,7,9,5,0,7,4,0,5,7,10,60,70,2,3,4,50,3,4,2,,52,3,,2,1,,7,1,1,1,213,0
27.04.2020 19:07:54,963,CROATIA,HR,9,5,5,2,3,6,5,5,5,6,5,5,5,5,8,50,50,50,5,10,6,5,6,8,9,5,5,5,5,5,10,5,9,10,7,7,8,6,8,8,5,5,7,9,9,9,9,9,9,9,4,4,7,3,5,3,3,3,5,5,3,5,3,3,5,5,5,4,7,0,0,9,1,6,50,6,4,2,,49,1,,0,1,,4,1,1,1,213,0
27.04.2020 19:34:22,3109,CROATIA,HR,10,0,10,10,10,9,8,10,10,10,10,8,10,10,10,0,100,0,7,7,0,0,0,10,2,1,1,1,1,0,10,10,10,0,0,0,3,10,10,5,10,10,8,8,8,8,9,10,9,8,4,5,8,0,0,0,0,0,0,10,8,2,0,6,6,0,6,6,8,10,40,4,16,9,25,3,7,2,,51,3,,2,1,,3,1,1,1,213,0
27.04.2020 19:49:33,1486,CROATIA,HR,9,2,9,5,10,6,6,8,5,5,9,8,0,9,10,70,30,0,1,3,3,3,3,10,6,5,3,3,4,5,10,8,8,1,2,10,10,10,10,4,5,3,4,7,5,5,4,4,6,8,6,6,5,5,4,2,4,4,6,9,6,4,0,6,6,4,5,5,9,20,20,4,5,7,50,900,4,1,,55,3,,3,5,,4,2,1,1,213,0
27.04.2020 20:42:56,787,CROATIA,HR,0,5,10,0,1,0,0,0,0,10,0,0,0,0,0,100,0,0,10,10,0,0,0,10,0,5,9,9,5,10,10,10,10,0,0,10,5,5,5,5,5,10,10,10,5,5,5,5,10,10,0,0,10,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,50,50,1,16,9,100,3,4,2,,67,1,,2,5,,1,1,1,1,213,0
27.04.2020 21:23:27,1893,CROATIA,HR,9,0,10,8,10,9,8,9,3,10,10,10,10,10,10,50,50,0,2,3,0,0,0,10,10,3,8,5,10,5,10,10,10,10,5,5,0,10,10,5,5,10,3,3,5,5,7,5,5,5,2,2,7,0,7,9,5,1,5,10,6,5,0,1,0,2,0,5,9,80,50,5,9,9,25,300,7,1,,36,3,,1,1,,9,2,1,1,213,0
27.04.2020 21:39:12,1464,CROATIA,HR,8,10,8,8,10,9,10,10,7,10,5,8,5,9,8,50,40,10,8,5,5,5,5,10,5,5,7,6,8,5,9,8,9,2,5,10,10,10,10,5,10,10,7,9,9,9,9,9,4,9,4,2,8,5,5,4,5,5,3,9,7,5,1,7,5,2,2,7,8,10,20,3,4,9,25,300,4,2,,55,3,,0,1,,6,1,1,1,213,0
27.04.2020 21:48:52,1691,CROATIA,HR,5,0,10,10,10,10,10,10,5,10,8,5,4,8,10,0,100,0,5,5,5,5,5,10,5,8,4,6,5,5,10,10,10,0,3,10,7,9,7,5,10,9,1,5,5,6,7,10,8,5,7,5,6,0,0,0,2,2,5,8,7,0,0,5,1,5,2,2,7,50,50,0,14,6,50,3,6,2,,55,4,separated,2,2,,8,1,1,1,213,0
