sex;age;children;education;household_size;marital_RO;physical_contact1;physical_contact2;physical_contact3;physical_contact4;physical_contact5;physical_hygiene1;physical_hygiene2;physical_hygiene3;physical_hygiene4;physical_hygiene5;policy_support1;policy_support2;policy_support3;policy_support4;policy_support5;generosity1;generosity2;generosity3;psych_wellbeing1;psych_wellbeing2;collective_narcis1;collective_narcis2;collective_narcis3;national_identity1;national_identity2;conspiracy_theories1;conspiracy_theories2;conspiracy_theories3;conspiracy_theories4;open_mindness1;open_mindness2;open_mindness3;open_mindness4;open_mindness5;open_mindness6;morality_as_cooperat1;morality_as_cooperat2;morality_as_cooperat3;morality_as_cooperat4;morality_as_cooperat5;morality_as_cooperat6;morality_as_cooperat7;trait_optimism1;trait_optimism2;social_belonging1;social_belonging2;social_belonging3;social_belonging4;trait_self_control1;trait_self_control2;trait_self_control3;trait_self_control4;self_esteem;narcissism1;narcissism2;narcissism3;narcissism4;narcissism5;narcissism6;moral_identity1;moral_identity2;moral_identity3;moral_identity4;moral_identity5;moral_identity6;moral_identity7;moral_identity8;moral_identity9;moral_identity10;risk_perception1;risk_perception2;political_ideology;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;moral_circle1;health;employment;employment_other;ladder_answer;urban;tested_positive;know_tested_positive;marital
2;35;2;5;4;3;84;22;46;73;73;100;100;100;100;0;20;20;33;46;38;70;50;50;6;3;10;9;8;10;10;7;4;5;6;3;6;6;4;5;5;6;6;4;6;6;5;6;5;9;6;7;6;5;4;6;2;2;7;6;6;6;0;4;4;4;5;6;4;6;6;5;5;5;5;19;60;4;100;50;50;8;30;20;1;10;1; ;3;1;1;1;3
1;44;0;7;4;3;81;32;87;40;50;69;80;36;3;23;18;79;21;64;0;170;0;0;5;3;7;5;7;10;5;5;8;10;3;2;10;10;10;1;1;5;9;9;5;2;5;9;5;7;5;5;5;7;6;5;6;7;5;3;2;5;3;5;2;7;7;3;0;5;6;2;8;8;8;20;38;5;100;5;24;4;30;15;2;8;2; ;5;2;1;1;3
1;23;0;5;4;3;100;13;100;90;76;100;100;100;78;85;82;73;100;81;83;0;85;85;7;5;4;9;5;9;9;10;2;9;1;1;8;5;7;1;1;9;9;8;9;10;10;10;8;9;8;6;8;9;8;8;4;1;9;6;5;5;6;6;1;9;9;1;0;7;5;2;5;6;8;73;100;7;100;5;24;4;30;20;1;8;4; ;5;2;1;1;3
1;33;0;7;2;3;92;51;92;90;100;91;94;93;91;92;70;74;67;62;58;0;85;85;7;6;9;8;7;10;10;9;9;9;9;7;8;9;9;10;9;8;8;8;8;6;9;8;8;9;8;8;8;7;8;8;8;8;8;8;8;8;9;8;9;8;9;8;8;8;8;8;8;8;9;22;22;5;105;5;47;8;29;15;1;9;1; ;2;1;1;1;3
1;60;0;5;2;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;70;50;50;5;4;5;3;5;10;10;0;0;0;0;1;10;10;10;0;0;6;7;10;8;6;10;10;8;9;8;7;9;10;8;8;9;1;6;0;0;0;0;0;0;10;10;5;0;9;5;0;0;2;10;0;0;5;100;20;24;4;15;20;16;6;1; ;5;1;1;1;3
1;55;0;7;3;3;96;6;6;4;100;99;98;99;99;100;99;98;20;100;99;70;80;20;1;2;1;7;8;8;6;8;0;3;3;2;10;9;7;1;1;10;8;10;10;8;10;10;6;4;1;8;8;10;7;8;10;7;6;9;4;5;7;6;1;7;7;6;0;7;6;1;7;6;9;58;62;10;100;150;56;8;14;20;1;6;1; ;5;1;1;1;3
2;62;0;7;1;1;100;0;100;87;100;100;100;100;69;100;100;100;85;100;100;40;130;0;8;8;5;5;7;10;8;8;5;5;5;0;10;10;10;0;10;10;10;10;8;7;5;0;8;10;7;8;8;7;8;7;7;0;7;7;0;0;0;2;0;10;10;7;0;8;8;0;0;0;10;50;50;8;100;1;24;4;30;20;12;9;5; ;5;1;1;1;1
2;39;0;5;3;3;100;0;100;100;100;67;90;100;100;100;100;100;100;100;100;70;70;30;6;6;5;4;5;9;6;9;7;7;7;4;9;1;9;1;1;10;10;10;10;10;3;10;6;8;6;5;5;9;4;4;7;1;5;1;2;1;5;3;0;10;8;6;0;5;6;0;5;5;10;14;50;5;100;10;24;8;30;20;16;10;3; ;6;2;1;1;3
1;65;2;7;6;3;85;5;85;96;96;97;96;99;99;96;99;100;100;100;100;20;120;30;8;8;7;7;7;10;10;0;0;0;0;7;8;9;9;0;0;8;9;9;9;8;7;9;8;9;8;8;9;9;8;8;5;5;7;5;5;5;6;6;3;5;6;6;1;8;8;3;7;7;8;55;58;6;100;5;47;4;30;15;2;9;1; ;5;1;1;1;3
2;57;0;7;1;5;94;11;82;99;98;99;99;99;80;74;95;99;99;100;99;140;30;0;7;7;3;5;2;10;8;8;6;6;7;3;10;10;10;0;2;10;10;10;10;10;7;7;5;5;8;8;8;10;9;10;2;0;7;3;3;9;7;7;4;10;10;9;0;10;10;6;10;10;10;52;87;5;105;5;24;4;15;20;5;8;5; ;5;1;1;1;1
