RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,
05/15/2020 01:48:43 PM,1330,Taiwan ,ZH,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,0,0,1,3,3,4,5,10,10,10,10,0,0,0,1,2,8,1,1,10,10,10,10,10,10,10,6,6,5,6,6,6,5,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,60,59,0,2,8,1,0,3,8,1,,31,1,0,1,,11,,1,1,213,,
05/15/2020 01:53:00 PM,3800,Taiwan ,ZH,7,5,6,7,9,7,7,7,5,7,6,9,3,9,8,0,10,90,7,6,1,1,6,8,8,6,4,4,4,2,4,6,6,5,6,7,7,8,9,4,8,5,6,6,7,7,7,8,6,6,1,2,1,3,3,3,3,6,2,6,7,3,2,7,7,3,6,6,9,19,25,3,2,6,3,25,300,7,2,,66,3,2,5,,6,,1,1,213,,
05/15/2020 01:55:38 PM,1803,Taiwan ,ZH,9,0,10,9,10,9,9,10,9,10,9,10,5,9,10,0,100,0,9,8,5,5,5,5,5,5,0,1,0,5,5,9,9,5,1,5,5,5,5,5,5,6,8,8,5,8,8,8,8,8,1,1,5,5,5,5,1,5,1,8,8,5,5,5,8,5,5,2,2,50,50,5,10,8,3,125,3,3,2,,53,3,2,5,,5,,1,1,213,,
05/15/2020 01:56:32 PM,1418,Taiwan ,ZH,8,5,10,10,10,8,9,10,7,10,7,5,5,10,10,60,30,10,8,7,5,5,7,9,9,6,6,2,9,5,9,8,9,2,2,8,8,8,8,8,2,5,7,8,6,6,8,8,7,8,5,5,5,3,6,5,6,8,9,7,7,5,7,6,7,8,6,7,8,55,48,5,3,7,3,50,3,8,2,,39,3,2,1,,3,,1,1,213,,
05/15/2020 01:58:32 PM,1320,Taiwan ,ZH,7,2,6,6,10,8,8,9,5,6,2,2,1,5,6,10,0,90,8,7,3,5,2,8,8,5,2,1,1,4,7,8,8,1,2,7,5,10,7,6,6,9,7,7,9,9,8,7,4,7,5,6,6,5,7,10,8,8,6,10,8,3,1,8,10,1,8,5,7,26,40,6,6,5,2,25,3,7,1,,27,2,0,1,,6,,1,1,213,,
05/15/2020 01:58:35 PM,836,Taiwan ,ZH,5,5,5,3,6,3,3,3,3,3,1,1,3,10,10,100,0,0,3,3,10,10,10,10,10,10,10,10,5,2,10,10,10,1,1,0,10,10,10,10,10,10,3,3,5,4,3,3,0,3,10,10,2,7,7,10,10,10,5,8,10,10,5,10,10,2,10,6,10,0,0,5,3,2,2,10,3,7,1,,29,2,0,1,,8,,1,1,213,,
05/15/2020 02:00:55 PM,1007,Taiwan ,ZH,8,2,5,8,8,9,8,9,6,8,3,8,5,8,8,60,20,20,2,7,1,2,5,8,5,1,1,2,2,4,8,6,7,2,3,10,6,8,7,6,3,2,4,4,8,7,7,9,5,7,2,3,3,3,5,5,4,6,5,9,9,7,3,6,7,3,4,6,7,39,51,6,7,6,3,25,3,7,2,,68,3,3,5,,6,,1,1,213,,
05/15/2020 02:02:04 PM,1052,Taiwan ,ZH,5,5,6,4,9,5,7,8,8,10,3,6,3,7,10,50,30,20,3,5,3,5,5,5,6,6,5,5,5,6,5,5,5,5,5,5,6,6,6,5,5,5,4,5,5,4,5,6,5,5,6,6,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,51,45,5,4,5,1,25,300,4,2,,27,1,0,1,,6,,1,1,213,,
05/15/2020 02:03:52 PM,1043,Taiwan ,ZH,1,2,5,2,3,3,3,4,3,6,5,5,7,6,6,80,10,10,5,5,5,7,3,3,7,5,5,3,7,7,4,4,4,4,7,3,7,3,3,8,8,7,6,3,3,3,8,7,7,7,5,4,7,4,4,3,3,4,8,7,6,4,6,5,7,7,6,6,6,46,40,6,3,5,1,50,3,0,1,,28,1,0,1,,10,,1,1,213,,
05/15/2020 02:04:34 PM,954,Taiwan ,ZH,6,2,4,3,4,6,6,7,6,6,5,7,3,7,7,50,40,10,4,4,4,5,4,5,5,2,2,2,2,8,7,7,7,2,2,6,7,6,5,3,7,7,4,5,5,4,5,5,6,4,3,4,3,3,4,2,3,4,3,5,5,3,4,5,5,7,4,4,3,57,51,5,8,4,3,25,3,8,1,,29,3,3,1,,7,,1,1,213,,
05/15/2020 02:06:58 PM,1450,Taiwan ,ZH,10,3,10,10,10,10,10,10,10,10,3,10,0,10,10,100,0,0,4,5,0,4,2,10,10,5,2,4,4,3,10,10,10,1,0,0,0,0,0,0,0,0,5,6,4,6,7,8,9,6,2,7,4,1,0,0,0,0,2,8,6,2,0,5,5,5,7,3,6,52,57,6,9,4,1,50,1,2,2,,61,1,3,6,House keeper,7,,1,1,213,,
05/15/2020 02:07:17 PM,1079,Taiwan ,ZH,5,2,2,2,4,10,10,10,8,10,10,7,5,6,10,20,40,40,2,1,5,5,5,1,3,10,10,10,10,7,10,10,10,5,2,3,5,6,5,2,5,4,1,1,2,1,2,1,2,2,2,4,3,5,2,4,2,2,2,6,6,5,4,5,6,3,5,1,2,68,58,5,16,5,2,50,3,4,1,,55,2,1,3,,11,,1,1,213,,
05/15/2020 02:09:27 PM,1440,Taiwan ,ZH,7,2,10,9,10,7,10,10,6,10,5,9,6,10,10,0,80,20,7,7,0,3,0,10,5,0,5,5,0,9,10,10,10,2,0,6,2,7,5,3,5,2,5,7,5,7,8,8,9,7,5,7,2,2,0,5,0,5,0,4,2,0,3,5,5,5,3,0,0,55,30,5,16,8,3,50,9000,4,2,,52,3,3,2,,6,,1,1,213,,
05/15/2020 02:09:57 PM,1462,Taiwan ,ZH,9,0,10,10,10,10,8,10,7,10,1,6,8,10,10,50,25,25,9,7,5,4,3,10,9,6,5,1,1,2,9,9,9,2,2,1,1,9,1,2,1,1,6,8,7,9,9,9,5,6,6,6,8,3,5,3,8,8,2,8,8,7,2,7,7,2,8,4,9,5,5,2,3,6,3,25,3,2,1,,48,3,1,2,,6,,1,1,213,,
05/15/2020 02:10:22 PM,1092,Taiwan ,ZH,9,1,10,10,10,10,10,10,4,10,10,10,5,10,10,80,20,0,3,2,3,3,3,10,10,6,6,5,8,6,7,7,9,2,5,8,9,10,7,5,8,7,7,8,9,8,7,7,7,8,3,2,5,3,8,3,3,5,3,6,7,7,2,5,4,3,3,4,4,62,67,5,10,8,3,50,300,4,2,,35,3,2,2,,6,,1,1,213,,
05/15/2020 02:15:53 PM,1692,Taiwan ,ZH,10,0,10,10,10,10,10,10,10,10,0,0,0,10,10,80,10,10,7,7,10,10,10,10,10,5,5,5,5,10,10,10,5,0,0,5,3,5,5,0,0,0,5,10,8,8,8,8,5,0,0,0,8,5,5,0,0,5,0,5,5,0,0,10,10,10,0,0,0,50,50,5,1,4,1,125,3,4,2,,37,1,0,1,,11,,1,1,213,,
05/15/2020 02:18:09 PM,1490,Taiwan ,ZH,10,3,9,10,10,9,9,9,6,10,7,8,5,5,10,0,70,30,4,4,1,1,1,10,10,1,8,1,8,9,10,10,10,3,1,9,9,9,9,10,10,10,5,5,7,8,8,7,8,8,1,1,2,9,1,9,10,10,2,9,10,10,2,10,2,2,3,3,4,29,29,3,6,3,3,25,3,4,1,,37,3,2,6,House wife,6,,1,1,213,,
05/15/2020 02:18:49 PM,1215,Taiwan ,ZH,5,5,9,8,8,8,7,7,8,8,4,4,4,4,4,40,30,30,3,6,6,9,8,9,9,8,8,8,9,7,6,7,7,7,6,8,6,6,3,7,7,3,8,8,8,8,8,8,8,8,8,8,6,8,8,8,7,7,7,7,7,7,7,6,7,6,7,7,7,25,34,6,13,2,1,20,3,10,1,,47,1,0,5,,4,,1,1,213,,
05/15/2020 02:21:34 PM,2113,Taiwan ,ZH,10,5,10,10,10,10,10,10,5,10,0,5,0,5,10,0,50,50,5,9,5,5,5,10,5,0,0,0,0,5,5,5,10,0,5,5,5,10,10,5,5,10,5,5,5,5,5,10,10,10,0,0,5,0,5,5,5,5,5,5,10,5,0,5,5,5,5,5,5,50,50,10,9,8,3,25,3,7,2,,60,3,2,5,,6,,1,1,213,,
05/15/2020 02:33:24 PM,834,Taiwan ,ZH,5,5,5,2,4,0,0,0,0,0,0,0,0,0,1,100,0,0,4,5,0,0,6,5,0,5,5,5,5,3,5,5,5,0,0,5,0,9,7,7,5,8,2,0,0,10,7,7,2,7,5,8,6,5,0,10,1,0,10,9,8,4,0,6,7,5,7,7,5,15,11,6,16,5,1,25,300,4,2,,22,1,0,4,,8,,1,1,213,,
05/15/2020 02:33:33 PM,1263,Taiwan ,ZH,8,5,8,10,10,9,9,8,7,10,5,10,5,10,10,50,35,15,4,6,5,8,8,8,9,2,2,2,2,8,9,9,8,2,2,6,6,7,8,5,4,3,1,6,2,8,8,10,8,8,8,6,8,7,8,7,7,7,7,10,8,5,1,9,9,2,9,8,8,60,50,9,9,8,3,25,300,4,2,,44,3,2,6,House keeper,4,,1,1,213,,
05/15/2020 02:34:21 PM,1496,Taiwan ,ZH,8,8,9,8,8,8,7,8,8,8,5,5,5,6,6,60,20,20,6,7,6,6,6,10,10,5,5,5,5,7,7,7,7,6,7,6,6,7,7,7,7,8,7,7,7,7,7,8,7,8,5,5,4,6,6,2,5,6,3,5,7,7,2,6,5,2,6,6,6,13,14,5,6,7,2,25,300,7,1,,26,2,0,1,,6,,1,1,213,,
05/15/2020 02:35:13 PM,1438,Taiwan ,ZH,10,3,5,10,10,10,10,10,10,10,5,5,5,8,10,33,33,34,5,5,5,5,5,10,10,5,5,1,5,5,8,8,8,2,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,51,70,5,8,5,1,50,300,4,2,,42,1,0,1,,6,,1,1,213,,
05/15/2020 02:40:34 PM,1247,Taiwan ,ZH,4,10,9,8,6,10,10,9,8,10,2,5,8,10,10,50,25,25,8,7,1,4,8,10,9,8,1,1,3,2,9,10,10,2,8,6,2,10,10,3,5,3,9,9,5,8,8,10,7,10,2,1,1,1,4,1,6,8,4,9,7,4,1,6,8,4,7,9,7,31,57,7,7,6,1,50,300,16,1,,26,1,0,1,,8,,1,1,213,,
05/15/2020 02:43:44 PM,1307,Taiwan ,ZH,10,1,10,10,10,10,10,10,4,10,10,10,6,10,10,0,60,40,4,4,7,7,8,10,10,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,9,9,10,10,10,9,7,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,91,90,9,7,9,3,25,3,4,1,,37,3,2,1,,6,,1,1,213,,
05/15/2020 02:45:27 PM,986,Taiwan ,ZH,9,1,8,10,10,10,10,10,10,10,5,6,4,8,10,50,40,10,7,7,4,5,9,10,10,8,2,2,6,10,10,10,10,2,8,7,8,8,8,8,8,8,7,8,6,6,8,8,7,8,6,6,1,3,7,5,5,7,8,7,7,4,2,7,6,8,5,7,7,61,56,5,5,9,3,50,100,4,2,,29,3,2,1,,6,,1,1,213,,
