sex,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
2,21,1,0,4,,5,1,1,1,213,0
1,33,3,1,1,,4,1,1,1,213,0
1,42,3,1,1,,2,1,1,1,213,0
1,40,1,0,1,,6,1,1,1,213,0
1,62,3,1,1,,3,2,1,1,213,0
2,62,3,1,1,,3,1,1,1,213,0
1,35,3,1,1,,0,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,37,3,1,1,,5,1,1,1,213,0
1,61,3,2,5,,5,1,1,1,213,0
1,27,1,0,1,,5,1,1,1,213,0
2,62,3,1,5,,6,1,1,1,213,0
1,35,3,1,1,,3,1,1,1,213,0
2,65,3,1,5,,5,1,1,1,213,0
2,37,3,2,1,,6,1,1,1,213,0
2,25,1,0,1,,4,1,1,1,213,0
1,55,3,1,1,,1,1,1,1,213,0
1,62,3,2,5,,4,1,1,1,213,0
1,60,3,1,5,,5,1,1,1,213,0
2,65,3,1,5,,6,2,1,1,213,0
2,21,1,0,4,,6,2,1,1,213,0
2,58,3,1,1,,5,1,1,1,213,0
1,45,3,1,1,,5,1,1,1,213,0
2,32,3,1,1,,4,1,1,1,213,0
2,28,3,1,1,,5,1,1,1,213,0
2,29,3,1,1,,4,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,35,3,1,1,,6,1,1,1,213,0
2,54,3,1,1,,3,1,1,1,213,0
1,29,1,0,1,,5,1,1,1,213,0
1,52,3,1,1,,4,2,1,1,213,0
2,23,2,0,1,,6,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
1,42,3,1,1,,5,1,1,1,213,0
2,56,3,1,5,,3,1,1,1,213,0
2,63,3,1,5,,3,1,1,1,213,0
2,47,1,0,1,,5,1,1,1,213,0
1,23,1,0,4,,6,1,1,1,213,0
1,55,3,1,3,,4,1,1,1,213,0
1,62,3,2,5,,3,1,1,1,213,0
1,26,2,0,1,,3,1,1,1,213,0
1,50,3,1,1,,3,1,1,1,213,0
