,RecordDate,Duration_sec,Language,Country,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity_1,national_identity_2,Conspiracy_theories_1,Conspiracy_theories_2,Conspiracy_theories_3,Conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,Self.esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,MORAL_ID_1,MORAL_ID_2,MORAL_ID_3,MORAL_ID_4,MORAL_ID_5,MORAL_ID_6,MORAL_ID_7,MORAL_ID_8,MORAL_ID_9,MORAL_ID_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marital,children,employment_status,employment_status_other,Ladder,urban,tested_positive,know_tested_positive,education_status,education_status_other,region,latest_vote,latest_vote_other,AttCheck_nobots
309,4/29/2020 21:17,1468,MK,North Macedonia,7,8,10,9,10,NA,9,10,1,9,5,5,3,5,58,64,18,18,6,7,0,0,0,2,0,0,0,0,0,5,10,10,10,0,0,6,2,6,0,7,5,8,79,81,8,9,10,10,8,9,5,6,8,0,6,5,5,3,5,5,NA,NA,0,0,NA,NA,0,7,NA,NA,50,30,1,9,10,25,3,7,2,,38,2,0,1,,4,1,1,1,7,,7,4,,213
310,4/29/2020 21:36,1252,MK,North Macedonia,10,8,9,6,10,10,10,10,7,0,10,10,8,10,100,0,50,50,3,8,0,30,50,3,7,0,0,0,0,3,10,10,10,0,1,6,6,8,7,4,7,9,91,100,6,4,NA,6,2,7,8,6,7,0,4,8,7,10,8,3,10,9,NA,0,5,8,2,5,7,9,30,30,3,14,3,25,NA,7,1,,46,3,1,1,,3,1,1,1,7,,7,4,,213
311,4/29/2020 22:28,758,MK,North Macedonia,10,2,10,10,10,1,1,10,10,10,10,10,0,10,100,0,0,100,8,8,0,0,0,3,1,50,0,60,40,0,10,10,10,0,0,5,0,0,6,9,3,0,100,100,3,6,10,8,7,10,2,3,5,0,1,5,0,10,5,0,7,7,0,0,5,0,0,0,0,5,50,100,5,9,3,NA,NA,NA,2,,23,3,0,1,,5,1,1,1,6,,9,13,,213
312,4/29/2020 23:13,1472,MK,North Macedonia,9,0,8,9,10,9,9,10,9,10,10,10,6,10,90,0,50,50,5,8,50,50,50,6,6,20,10,10,10,3,10,9,9,1,4,9,7,9,9,8,8,9,49,64,7,8,8,9,6,8,6,3,6,5,5,5,3,6,6,2,9,9,6,0,6,7,1,5,6,9,30,60,4,14,7,25,3,7,2,,36,3,2,1,,3,1,1,1,8,,7,4,,213
313,4/29/2020 23:33,1005,MK,North Macedonia,2,0,8,10,10,10,10,10,10,10,9,10,1,10,100,50,45,5,3,1,0,0,0,0,1,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,60,80,10,9,9,9,2,7,2,0,8,0,1,3,0,0,0,0,10,7,0,0,1,0,0,0,0,8,50,50,1,16,9,NA,300,7,2,,40,1,0,6,,6,1,1,1,7,,7,13,,213
314,4/30/2020 6:31,1643,MK,North Macedonia,10,0,9,10,10,9,9,10,8,8,10,10,2,10,100,0,50,50,3,4,0,0,0,4,4,0,0,0,0,1,9,10,10,0,0,6,8,8,2,2,1,1,24,24,7,6,6,8,8,8,2,2,4,0,1,0,0,0,0,9,4,6,7,0,3,7,3,2,7,9,20,30,2,14,4,50,3,4,2,,52,3,1,6,samovrabotena,5,1,1,1,6,,7,10,,213
315,4/30/2020 8:17,829,MK,North Macedonia,10,0,10,10,10,10,10,10,10,10,10,10,10,10,100,60,0,40,6,6,0,0,0,7,7,80,0,0,0,0,10,10,10,0,0,0,0,4,4,0,4,4,81,70,7,5,8,8,10,10,7,0,7,0,0,0,0,0,0,0,10,10,4,0,3,0,0,0,0,10,50,50,3,3,5,250,100,4,2,,43,3,2,1,,7,1,1,1,6,,7,10,,213
316,4/29/2020 17:58,53284,MK,North Macedonia,8,3,6,6,6,9,9,9,1,5,5,5,5,5,50,0,100,0,3,8,50,50,50,5,5,50,50,50,50,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,96,96,8,8,8,8,4,8,7,7,7,0,5,2,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,50,50,4,4,6,25,3,7,1,,50,3,1,1,,3,1,1,1,7,,7,4,,213
317,4/30/2020 10:32,3776,MK,North Macedonia,10,0,10,10,10,8,8,10,5,5,3,3,2,2,0,80,10,10,3,4,50,50,50,2,3,0,0,0,0,5,10,10,10,0,2,5,5,10,9,9,9,9,85,50,8,9,9,9,6,10,5,0,8,0,5,5,9,6,5,3,10,8,5,0,5,5,7,5,5,5,20,30,3,11,5,NA,NA,7,2,,38,3,1,6,"со полно работно време, но со намалена плата",6,1,1,1,7,,7,4,,213
318,4/30/2020 11:52,1361,MK,North Macedonia,10,0,10,10,10,10,10,10,6,9,8,9,8,10,100,70,20,10,8,7,50,70,80,7,9,50,40,30,90,5,9,9,8,4,5,5,4,4,6,6,6,6,82,100,5,8,7,7,7,7,5,4,8,0,8,9,4,10,8,5,7,9,9,3,7,10,5,3,6,6,40,60,9,9,10,25,NA,7,2,,38,3,1,6,,5,1,1,1,6,,7,13,,213
