caseid,q1_1,q1_2,q1_3,q1_4,q1_5,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q4_1_1,q4_2_1,q4_3_1,q5_1,q6_1,q7_1,q7_2,q7_3,q8_1,q8_2,q9_1,q9_2,q9_3,q9_4,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12_1,q12_2,q13_1,q13_2,q13_3,q13_4,q14_1,q14_2,q14_3,q14_4,q15_1,q16_1,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q19_1,q19_2,q20_1,q21,q22_1,q23,q24,q25,civilstatus,children,jobsituation,jobsituation_other,q26,q27,q28,q29,q30,gender,age,profile_age1,profile_age2,profile_age3,region,household_income,profile_education,tot_time,endtime
1299508952,100,70,60,100,100,10,10,10,1,10,10,10,6,10,10,98,1,1,10,9,1,1,1,10,10,1,1,1,1,2,10,10,10,0,1,5,5,10,7,5,5,7,10,10,10,10,10,10,7,6,8,7,7,0,1,1,3,1,1,1,10,10,5,1,6,6,1,10,7,10,50,50,6,4,7,25,3,4,2,0,1,"",6,1,1,1,213,1,27,1,2,1,4,4,6,851.722,2020-04-27 11:47:45
1299560320,80,10,50,90,100,10,10,10,6,10,8,10,5,10,10,10,70,20,7,6,1,1,5,10,10,1,1,1,1,0,10,10,10,0,0,5,5,5,5,5,5,5,9,9,6,8,10,10,5,0,5,5,5,0,0,0,0,0,0,0,10,7,5,0,0,5,5,5,5,8,50,50,1,1,7,50,300,4,1,1,5,"",5,1,1,1,213,1,84,4,14,7,1,3,5,1350.327,2020-04-27 11:49:15
1299705210,100,60,100,100,100,10,10,10,8,10,10,10,10,10,10,57,43,0,6,7,3,0,4,6,6,0,0,2,0,0,9,5,9,0,0,9,5,6,6,10,10,10,5,5,5,4,7,10,3,3,8,8,5,0,0,0,0,3,1,0,10,7,0,1,5,5,5,1,0,10,50,50,5,7,5,50,300,4,3,2,5,"",5,1,1,1,213,2,69,3,11,5,1,12,1,1908.606,2020-04-27 11:54:07
1299689550,100,10,100,100,100,10,10,10,10,10,10,10,10,10,10,52,48,0,7,5,5,5,5,10,10,0,1,0,0,5,10,10,10,1,5,4,3,2,1,0,0,0,5,10,10,8,5,10,10,10,10,2,3,0,5,10,5,5,2,1,10,10,0,0,10,0,7,0,0,10,30,40,2,2,4,50,10,4,2,1,3,"",5,1,1,1,213,1,37,2,4,2,5,12,4,1452.374,2020-04-27 11:54:18
1299730784,60,10,70,80,80,10,10,8,8,10,10,10,8,10,10,80,8,12,5,6,5,5,2,10,8,0,0,0,0,1,9,10,9,0,0,6,7,9,6,6,8,6,7,8,4,3,8,5,5,6,7,5,6,0,5,6,1,6,6,0,10,9,6,0,7,8,0,8,6,10,80,80,2,10,7,50,300,4,1,0,4,"",7,1,2,1,213,2,25,1,2,1,1,13,2,808.108,2020-04-27 11:57:29
1299665396,80,80,80,100,100,8,8,8,5,8,10,10,8,10,10,80,10,10,5,8,5,5,5,10,8,1,1,1,1,8,8,8,8,10,3,5,5,8,5,5,7,7,8,10,5,8,8,8,5,5,5,5,8,0,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,10,10,6,5,5,25,3,7,3,1,5,"",7,1,1,1,213,2,71,4,11,6,1,5,4,919.795,2020-04-27 11:58:38
1299619220,90,10,100,100,100,9,8,9,5,10,10,10,10,10,10,10,60,30,6,7,5,5,5,10,10,1,1,1,1,3,9,8,8,8,3,5,5,8,5,5,5,5,7,7,10,10,10,10,9,8,2,1,6,0,4,3,5,5,3,2,8,7,5,2,5,7,3,5,2,8,50,50,7,5,8,25,3,7,2,1,5,"",8,1,1,1,213,1,70,4,11,6,1,5,6,1970.019,2020-04-27 12:03:09
1299743914,80,10,100,100,100,10,10,10,10,7,8,7,0,2,5,100,0,0,7,8,7,5,7,8,10,8,9,7,8,5,6,9,8,9,10,7,7,6,3,7,10,6,5,4,8,7,8,10,3,6,4,5,10,9,5,7,8,5,3,6,8,4,6,7,8,4,4,6,8,6,10,20,0,1,8,50,300,1,3,2,1,"",7,2,1,1,213,2,32,1,3,2,3,6,1,342.688,2020-04-27 12:11:08
1299280882,80,50,60,80,100,7,8,6,6,10,8,9,8,10,8,86,10,4,7,7,9,3,5,10,10,1,1,1,1,4,9,8,8,2,3,5,5,5,5,5,5,5,9,9,8,8,8,9,4,8,6,2,6,0,5,5,5,5,5,3,8,9,5,3,6,4,1,7,6,8,2,2,4,14,8,50,300,4,3,2,5,"",6,1,1,1,213,1,70,4,11,6,4,12,1,1314.771,2020-04-27 12:12:27
1299750980,80,60,90,80,80,10,8,8,4,10,9,8,5,8,7,100,0,0,9,9,0,0,0,7,5,0,0,0,0,3,10,10,10,0,1,9,9,9,9,9,8,9,9,10,8,8,9,10,8,8,5,1,7,0,8,0,2,2,0,5,9,9,4,0,2,2,0,0,0,10,0,30,5,3,8,25,300,4,2,0,1,"",8,2,1,1,213,1,28,1,3,1,2,11,7,519.131,2020-04-27 12:15:07
