Duration_sec,RecordedDate,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self_control__1,trait_self_control__2,trait_self_control__3,trait_self_control__4,Self_esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,CRT1,CRT2,CRT3,Country
1065,   5/5/2020 7:04,PL,10,0,9,9,9,7,8,10,8,7,9,9,1,10,8,50,50,0,6,6,5,5,5,7,7,5,3,3,3,5,8,8,8,2,5,6,6,6,6,6,6,6,5,5,6,6,6,6,3,4,7,7,3,0,7,3,4,5,4,5,8,5,5,1,5,5,3,3,3,8,60,60,1,11,4,1,,21,1,0,4,,5,1,1,2,213,50,3,7,Poland
1045,   5/5/2020 7:09,PL,10,0,10,9,9,5,5,10,5,5,8,10,4,8,8,50,40,10,4,5,8,8,8,9,9,7,7,7,6,2,10,10,10,0,2,7,7,9,8,6,6,7,7,8,8,8,7,8,4,8,7,4,5,0,6,3,5,6,5,5,9,10,5,0,7,6,1,7,6,9,10,10,5,16,7,1,,45,1,0,1,,5,1,1,1,213,25,3,4,Poland
2398,   5/5/2020 7:10,PL,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,60,40,5,7,10,9,10,10,10,5,5,5,1,0,10,10,10,0,0,10,10,10,10,10,10,0,9,10,10,10,10,10,10,10,1,0,5,0,1,1,0,2,1,0,10,10,9,0,10,10,10,10,10,10,50,50,7,16,7,2,,55,3,2,1,,5,1,1,1,213,25,3,7,Poland
1083,   5/5/2020 7:10,PL,10,0,9,8,10,6,6,8,3,7,10,10,10,10,10,90,10,0,7,6,1,3,1,3,4,6,2,2,2,6,9,9,9,0,7,7,7,9,7,9,7,9,8,8,4,6,7,4,7,10,4,4,7,0,7,7,9,8,7,3,9,7,6,1,7,3,3,6,6,8,30,70,3,5,8,2,,19,2,0,1,,5,1,1,1,213,25,3,7,Poland
1506,   5/5/2020 7:15,PL,3,6,2,2,1,4,3,4,1,4,5,3,1,7,8,100,0,0,4,3,5,5,5,7,5,1,0,1,1,5,8,8,9,2,4,6,5,9,7,4,5,8,4,6,6,5,4,6,7,5,6,9,1,0,4,3,6,5,4,3,6,5,5,3,4,1,4,4,4,5,20,40,2,9,7,1,,32,1,0,1,,7,1,1,1,213,50,3,7,Poland
1786,   5/5/2020 7:16,PL,7,2,5,9,2,5,6,10,5,10,10,10,4,10,10,5,80,15,2,5,5,2,3,5,5,5,5,5,10,8,8,6,7,3,3,1,5,9,5,2,2,8,7,5,4,5,6,5,4,10,0,5,7,0,9,5,7,8,7,5,7,5,6,3,5,7,5,5,7,2,50,50,5,7,8,2,,20,2,0,1,,4,1,1,1,213,50,300,30,Poland
643,   5/5/2020 7:18,PL,10,0,10,10,10,9,9,8,9,9,8,8,8,8,8,50,25,25,7,8,7,7,7,9,9,5,6,8,8,9,8,8,8,8,8,6,7,8,8,7,7,7,7,7,5,5,5,9,8,8,8,8,1,9,10,10,10,9,9,9,8,8,8,8,6,6,6,7,8,8,90,90,5,10,8,2,,34,2,0,1,,6,1,1,1,213,50,30,7,Poland
3269,   5/5/2020 7:25,PL,10,0,10,10,10,10,10,10,10,8,10,10,10,10,10,0,80,20,5,5,5,8,8,10,10,6,6,5,5,5,10,10,10,5,5,5,5,7,7,5,5,5,7,5,5,5,5,5,5,9,5,1,5,0,5,1,5,5,5,5,10,10,10,0,10,10,0,5,8,10,50,50,5,16,8,2,,48,1,2,1,,7,4,1,1,213,50,3,12,Poland
1184,   5/5/2020 7:26,PL,2,2,8,9,10,9,9,10,10,10,10,10,7,9,10,0,100,0,7,9,10,10,10,10,10,10,1,5,5,3,9,9,9,1,2,8,8,9,9,9,6,9,5,5,5,5,5,8,4,8,3,2,7,0,7,2,4,5,3,5,10,9,7,0,9,8,2,5,5,10,50,50,8,16,8,2,,49,3,1,1,,4,1,1,1,213,50,3,7,Poland
1242,   5/5/2020 7:37,PL,9,1,7,8,10,9,9,9,9,10,8,8,9,9,9,50,25,25,5,8,5,8,5,10,10,5,5,5,5,5,9,9,10,0,2,9,9,9,9,5,5,5,9,10,5,8,9,8,9,7,0,2,8,5,5,5,8,5,5,5,5,8,7,5,9,8,5,8,5,7,10,20,6,16,10,1,,18,1,0,3,,6,1,1,1,213,50,90000,4,Poland
