RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,"live_in_kurdistan(1=no,2=yes)"
26/04/20 14:57,1880,KURDISTAN,KU,0,10,7,0,7,0,0,10,7,3,0,0,0,0,0,30,0,70,0,10,6,6,0,0,0,10,10,10,10,10,10,10,10,0,10,4,4,5,5,5,4,4,10,10,0,0,0,7,6,10,10,6,10,0,0,0,0,10,0,8,10,0,0,0,0,8,3,0,8,70,60,7,16,7,50,10,4,1,,33,3,3,6,Decorator,11,2,2,1,213,4,1
26/04/20 14:59,2092,KURDISTAN,KU,5,5,7,7,9,5,7,7,6,8,10,10,3,10,7,95,2.5,2.5,2,5,0,3,3,6,5,9,7,8,5,1,8,9,9,0,7,5,5,5,5,5,5,5,2,0,3,3,8,7,8,7,6,2,7,0,8,5,10,8,1,10,10,7,0,8,7,0,2,8,6,10,30,5,1,10,-50,,,1,,38,1,0,1,,6,1,1,1,213,0,1
26/04/20 15:00,2009,KURDISTAN,KU,9,8,8,9,10,10,10,10,8,10,10,10,7,10,10,50,40,10,8,8,8,7,7,8,8,10,10,10,10,6,9,9,9,1,6,7,7,7,7,7,6,0,8,8,5,8,8,9,5,6,6,2,9,4,7,2,7,7,4,9,8,6,0,8,8,1,5,6,5,80,80,6,10,8,50,3,4,1,,64,3,6,1,,6,1,1,1,213,7,1
26/04/20 15:08,5660,KURDISTAN,KU,7,0,8,9,5,7,8,9,8,9,9,10,5,10,10,0,70,30,2,7,8,9,8,9,8,7,1,0,1,7,10,9,9,2,8,7,8,7,8,6,7,4,9,7,7,5,6,6,7,6,2,3,8,7,6,0,9,7,5,9,10,2,0,9,5,1,5,7,10,80,60,2,1,7,,,,2,,21,1,,4,,6,1,,,213,9,1
26/04/20 15:10,2335,KURDISTAN,KU,10,8,10,10,10,5,8,10,10,10,10,10,10,10,10,20,60,20,4,8,10,9,10,10,10,5,4,7,4,8,10,10,10,0,4,5,5,5,5,5,6,5,9,8,7,7,7,9,9,9,9,0,10,9,5,7,10,9,4,10,8,4,5,8,7,3,1,3,5,80,90,7,16,10,50,300,4,1,,2,3,2,1,,6,2,,2,213,0,1
26/04/20 15:14,1326,KURDISTAN,KU,10,7,10,10,10,,,,0,10,7,10,3,7,7,100,0,0,9,9,5,5,5,5,5,10,10,10,10,0,10,10,10,0,7,5,5,10,5,5,10,0,10,10,0,0,10,10,10,10,5,0,10,,,,,10,0,5,10,5,0,5,5,5,0,5,0,0,0,2,16,10,50,3,7,2,,34,1,0,1,,4,1,1,1,213,10,1
26/04/20 15:16,1173,KURDISTAN,KU,10,3,8,3,3,3,7,10,10,0,0,0,0,0,10,100,0,0,7,0,5,5,2,10,10,7,10,10,10,0,10,10,10,0,10,5,6,8,10,10,10,10,10,0,0,5,10,10,10,8,3,6,10,0,10,0,10,10,0,10,0,0,0,6,7,6,7,7,4,0,0,5,14,10,,,,1,,23,1,0,4,,6,1,1,1,213,0,2
26/04/20 15:18,4946,KURDISTAN,KU,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,40,40,20,10,3,10,10,10,10,10,5,5,10,10,0,10,10,10,0,10,10,5,0,5,0,5,5,4,10,4,5,5,10,10,10,4,5,10,5,5,5,10,10,5,5,10,5,5,5,5,5,0,0,0,90,100,3,7,5,50,3,,1,,37,3,3,3,,11,1,1,1,213,10,2
26/04/20 15:20,2795,KURDISTAN,KU,9,5,10,7,7,5,8,10,7,10,10,10,10,10,10,50,40,10,5,5,9,8,10,10,10,5,5,5,5,2,9,9,10,1,1,10,10,10,10,7,7,9,8,9,5,5,8,9,10,1,2,1,8,1,7,5,8,10,2,10,10,1,1,1,5,1,5,10,10,20,30,5,1,5,50,900,16,2,,45,3,0,4,,7,1,1,1,213,5,2
26/04/20 15:36,1993,KURDISTAN,KU,9,1,9,9,9,8,8,10,6,7,9,10,9,9,8,80,15,5,8,4,6,6,6,10,10,8,9,9,1,8,9,9,9,0,9,7,4,4,6,6,6,8,9,9,8,9,8,8,9,9,1,0,10,8,9,6,9,9,8,7,7,6,4,4,6,6,4,4,4,10,70,8,3,8,50,300,4,1,,35,3,2,1,,8,1,1,1,213,8,2
26/04/20 15:37,1534,KURDISTAN,KU,9,5,9,4,10,8,7,5,1,8,8,9,8,10,10,0,30,70,8,7,9,7,10,10,10,2,5,2,5,8,9,10,10,1,0,7,6,6,4,8,7,3,9,8,2,8,9,10,8,9,5,2,8,,7,0,9,4,9,9,9,3,0,7,6,0,0,7,10,0,30,,6,10,,,,1,,20,2,0,4,,7,2,1,1,213,10,2
26/04/20 15:49,3202,KURDISTAN,KU,10,0,10,10,10,0,0,10,10,10,10,10,0,10,10,50,0,50,10,9,10,5,5,5,5,5,5,5,5,0,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,5,10,5,10,8,0,0,10,5,10,0,10,10,10,10,5,5,0,5,0,5,0,5,0,0,50,0,16,10,125,300,7,1,,54,1,1,1,,5,1,1,1,213,10,2
26/04/20 16:21,1675,KURDISTAN,KU,10,9,9,9,9,8,7,6,3,1,7,9,9,9,10,5,55,40,4,4,9,8,5,8,8,8,8,8,8,2,9,3,9,1,1,4,4,3,3,3,2,3,8,8,8,8,8,7,9,9,8,3,9,0,5,1,9,9,0,10,9,4,0,4,3,0,4,5,9,10,10,5,15,5,50,900,16,2,,21,1,0,4,,9,1,2,1,213,0,2
26/04/20 16:30,2274,KURDISTAN,KU,5,1,3,5,10,5,3,10,5,10,9,8,7,7,7,10,80,10,3,5,7,9,8,5,8,5,4,8,5,5,9,9,9,5,8,6,5,7,8,5,5,2,5,8,5,6,5,5,5,7,4,10,7,,,5,7,5,,5,5,5,8,5,8,5,2,5,5,0,20,8,3,10,,,,1,,44,3,5,2,,,1,2,1,213,7,2
26/04/20 16:32,5449,KURDISTAN,KU,10,8,10,10,10,7,10,10,9,0,9,10,10,10,10,5,50,45,8,10,7,10,10,10,10,5,5,7,7,5,10,10,10,0,7,7,8,10,7,8,7,7,10,10,0,0,10,10,10,10,7,0,10,0,10,5,10,10,2,10,10,0,0,5,5,0,0,10,10,0,0,10,16,9,50,60,4,2,,20,1,0,4,,6,1,1,1,213,10,2
