"cntr","religious","Age","Gender","Education","SES","Country","Source","Trust"
1,1,27,1,3,1,"US","t_tradHealers",0.333333333333333
1,NA,55,2,2,1,"US","t_scientists",0.666666666666667
1,NA,55,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,34,1,2,0.5,"US","t_scientists",1
1,1,34,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,49,1,2,1,"US","t_scientists",0.333333333333333
1,1,49,1,2,1,"US","t_tradHealers",0.333333333333333
1,0,80,2,2,1,"US","t_scientists",0.666666666666667
1,0,80,2,2,1,"US","t_tradHealers",NA
1,1,74,2,3,1,"US","t_scientists",1
1,1,74,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,49,1,2,1,"US","t_scientists",1
1,1,49,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,33,1,2,0.5,"US","t_scientists",0.666666666666667
1,1,33,1,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,91,1,2,1,"US","t_scientists",0.666666666666667
1,1,91,1,2,1,"US","t_tradHealers",1
1,0,63,2,3,1,"US","t_scientists",1
1,0,63,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,96,2,3,1,"US","t_scientists",1
1,1,96,2,3,1,"US","t_tradHealers",0
1,1,75,2,3,1,"US","t_scientists",1
1,1,75,2,3,1,"US","t_tradHealers",NA
1,1,62,2,2,1,"US","t_scientists",1
1,1,62,2,2,1,"US","t_tradHealers",1
1,1,47,1,2,1,"US","t_scientists",0.666666666666667
1,1,47,1,2,1,"US","t_tradHealers",0
1,1,51,1,3,0,"US","t_scientists",0
1,1,51,1,3,0,"US","t_tradHealers",0
1,1,68,2,2,0,"US","t_scientists",0.666666666666667
1,1,68,2,2,0,"US","t_tradHealers",NA
1,1,64,2,2,0.5,"US","t_scientists",NA
1,1,64,2,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,61,2,2,0,"US","t_scientists",0
1,1,61,2,2,0,"US","t_tradHealers",0.666666666666667
1,1,45,1,3,1,"US","t_scientists",0.666666666666667
1,1,45,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,33,1,3,1,"US","t_scientists",1
1,1,33,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,63,1,2,0,"US","t_scientists",0.666666666666667
1,1,63,1,2,0,"US","t_tradHealers",0.333333333333333
1,1,64,2,2,0.5,"US","t_scientists",0.666666666666667
1,1,64,2,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,83,2,2,1,"US","t_scientists",1
1,1,83,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,74,2,2,0.5,"US","t_scientists",0.666666666666667
1,1,74,2,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,61,2,2,0.5,"US","t_scientists",0.333333333333333
1,1,61,2,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,49,1,3,1,"US","t_scientists",0.666666666666667
1,1,49,1,3,1,"US","t_tradHealers",0.333333333333333
1,0,36,2,2,1,"US","t_scientists",0.333333333333333
1,0,36,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,63,2,3,1,"US","t_scientists",1
1,1,63,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,44,1,3,0,"US","t_scientists",1
1,1,44,1,3,0,"US","t_tradHealers",0.666666666666667
