CONSENT FORM_0;CONSENT FORM_2;CONSENT FORM_3;QCONSENT FORM_4;physical_contact_0;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_hygiene_0;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;policy_support_0;policy_support_1;policy_support_2;policy_support_3;policy_support_4;Generosity_1;Generosity_2;Generosity_3;psych_wellbeing0;psych_wellbeing1;collective_narcis_0;collective_narcis_1;collective_narcis_2;national_identity_0;national_identity_1;conspiracy_theories_0;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;Open_mind_0;Open_mind_1;Open_mind_2;Open_mind_3;Open_mind_4;Open_mind_5;Morality_cooper_0;Morality_cooper_1;Morality_cooper_2;Morality_cooper_3;Morality_cooper_4;Morality_cooper_5;Morality_cooper_6;trait_optimism_0;trait_optimism_1;social_belonging_0;social_belonging_1;social_belonging_2;social_belonging_3;trait_self-control_0;trait_self-control_1;trait_self-control_2;trait_self-control_3;self-esteem;Attention check_0;narcissism_0;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;moral_identity_0;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health;CRT1;CRT2 ;CRT3;sex;sex_other;age;marital;children;employment;employment_other;ladder;urban ;tested_positive;know_tested_positive;no_bots
0;0;0;0;8;8;9;9;8;10;9;10;8;8;10;10;10;10;10;50;50;0;7;6;7;6;5;9;9;4;7;3;7;0;7;8;7;0;6;8;8;7;8;7;9;10;8;8;7;8;7;9;7;8;7;7;7;0;6;1;2;2;5;3;9;9;5;0;5;5;0;5;9;9;1;25;6;7;9;50;3;9;1;-2;51;3;2;2;-2;4;1;1;1;213
0;0;0;0;10;0;10;7;10;5;0;10;5;10;10;10;10;10;10;40;30;30;3;0;0;0;0;10;10;10;5;5;5;5;10;10;10;0;0;10;5;5;5;5;5;5;5;5;5;5;5;5;10;10;5;8;3;0;0;0;0;0;0;0;0;5;5;0;5;5;5;0;0;5;0;0;5;16;5;50;300;4;2;-2;51;3;1;5;-2;8;1;1;1;213
0;0;0;0;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;20;40;40;3;3;5;5;5;10;10;5;8;8;8;0;10;10;10;0;0;10;10;10;10;10;8;10;8;9;8;10;8;10;9;10;3;0;5;0;0;5;0;5;5;0;10;10;8;0;8;10;0;10;5;10;30;30;0;9;8;50;3;4;1;-2;51;3;1;3;-2;7;2;1;1;213
0;0;0;0;7;0;3;9;9;2;7;9;2;5;4;8;8;10;10;50;40;10;6;5;9;5;9;10;10;7;0;0;3;7;10;10;9;0;2;8;9;10;10;9;8;10;9;10;9;10;10;10;7;8;9;6;6;0;6;5;5;5;6;1;10;9;0;0;6;4;1;0;2;10;50;60;5;6;8;50;3;4;1;-2;51;3;3;1;-2;5;2;1;1;213
0;0;0;0;9;1;9;9;9;8;8;8;6;8;7;7;7;7;7;30;40;30;5;6;0;5;0;10;10;3;3;3;3;2;10;10;10;0;0;7;7;7;8;8;8;8;7;7;5;5;5;8;8;8;2;2;7;0;5;2;2;2;2;2;7;7;3;3;5;5;3;3;3;7;10;10;3;11;7;25;3;7;1;-2;51;3;1;3;-2;5;1;1;1;213
0;0;0;0;10;0;10;10;10;5;5;10;5;10;5;10;0;10;10;100;0;0;9;4;0;0;0;10;10;0;0;0;0;0;10;10;10;0;0;5;5;5;5;4;5;5;10;10;8;5;10;10;10;5;10;5;0;0;0;0;0;0;7;0;10;8;5;0;4;5;0;5;2;6;0;100;0;16;10;50;3;4;1;-2;51;3;2;2;-2;5;1;1;1;213
0;0;0;0;9;0;9;10;10;8;8;10;10;9;9;10;0;10;9;50;25;25;3;4;7;8;7;10;3;1;1;6;2;6;7;6;4;3;1;7;4;6;7;5;5;5;7;7;2;2;4;3;4;5;6;7;7;0;3;2;8;6;5;6;8;7;7;1;4;6;1;5;2;6;50;50;3;1;4;25;3;4;1;-2;51;3;2;3;-2;7;1;1;1;213
0;0;0;0;7;6;5;4;2;7;6;9;3;6;6;8;5;6;10;50;50;0;2;4;3;3;2;6;5;6;5;3;9;7;10;7;6;3;4;5;4;6;7;6;5;5;4;4;4;4;5;6;4;4;6;5;6;0;7;6;9;6;5;7;4;5;4;4;5;3;3;2;4;2;47;25;4;1;5;50;300;4;1;-2;51;1;0;2;-2;7;1;1;1;213
0;0;0;0;10;0;10;7;5;5;5;9;0;9;6;9;6;6;10;50;40;10;4;5;6;8;9;10;10;9;9;1;6;8;10;10;10;0;5;10;7;10;7;5;5;9;4;4;5;9;5;5;6;6;9;7;5;0;1;1;1;1;1;5;9;5;1;0;0;1;0;0;0;8;50;50;1;1;7;25;300;4;1;-2;51;3;1;5;-2;5;1;1;1;213
0;0;0;0;10;2;10;10;10;10;10;10;10;5;10;10;10;10;10;0;100;0;9;9;10;10;10;10;10;7;7;7;7;4;9;10;10;0;1;10;10;10;10;5;9;9;10;10;10;10;10;10;9;10;0;0;10;10;0;5;0;7;8;0;10;10;9;0;10;10;0;10;10;10;0;50;5;1;9;50;3;8;1;-2;51;3;2;1;-2;3;1;1;1;213
0;0;0;0;10;0;10;8;10;10;10;10;8;6;10;10;0;10;10;90;10;0;8;7;0;5;1;10;8;10;10;10;10;9;10;8;8;0;9;6;4;9;6;5;7;5;6;6;3;6;5;8;5;7;10;10;2;0;6;6;10;6;1;9;6;5;2;1;3;3;8;1;1;2;80;90;5;3;7;25;3;7;2;-2;52;1;1;1;-2;4;1;1;1;213
