RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27-May-20,7250,UKRAINE,EN,0,10,0,1,1,2,2,2,0,8,10,9,5,9,3,90,10,0,5,3,5,5,5,8,8,2,8,8,8,5,10,10,10,2,2,6,5,8,8,8,8,8,10,10,5,7,7,5,5,8,8,7,0,5,3,0,5,2,2,7,5,2,5,5,5,5,5,2,5,50,50,2,10,6,25,100,7,1,NA,48,1,0,1,NA,5,1,1,2,213,0
27-May-20,1407,UKRAINE,EN,6,4,8,8,8,7,8,10,3,6,7,8,8,10,8,25,75,0,6,5,5,5,5,10,10,0,0,0,0,2,8,7,7,3,3,5,5,8,7,6,6,0,7,7,5,2,7,7,3,6,5,7,7,0,3,3,5,5,0,7,6,3,0,7,5,6,0,5,6,15,10,5,1,6,50,1,7,1,NA,28,1,0,3,NA,7,1,1,1,213,0
27-May-20,1729,UKRAINE,EN,8,1,9,9,10,8,10,10,10,10,10,10,10,10,10,80,20,0,3,3,5,5,5,10,8,10,5,2,2,5,10,10,10,5,5,7,5,8,8,5,8,5,7,7,5,7,8,4,5,9,3,5,7,7,5,3,3,5,3,8,6,5,5,6,7,4,5,4,8,50,75,5,16,5,50,3,4,2,NA,47,2,1,1,NA,7,1,1,1,213,0
27-May-20,947,UKRAINE,EN,5,6,5,5,9,10,10,8,6,10,10,10,10,10,10,70,30,0,6,5,5,10,5,10,7,7,2,7,3,4,9,9,8,1,1,8,3,9,9,6,7,7,5,7,6,8,5,6,1,6,9,9,7,5,7,6,7,5,10,8,7,4,0,5,8,1,5,6,7,50,50,8,9,6,1,3,7,2,NA,30,3,2,1,NA,6,1,1,1,213,0
27-May-20,1202,UKRAINE,EN,7,6,9,7,9,10,10,10,6,6,10,10,7,8,9,75,10,15,7,7,5,4,6,9,9,7,4,6,8,7,5,4,5,5,7,10,5,6,7,6,5,7,10,10,9,7,8,7,6,8,4,3,7,4,6,8,5,8,6,5,5,7,7,6,6,5,7,6,5,70,70,5,6,9,25,3,4,1,NA,44,3,1,1,NA,4,1,1,1,213,0
27-May-20,2311,UKRAINE,EN,5,0,5,9,10,5,5,10,10,5,5,10,5,10,10,85,10,5,4,5,0,0,0,10,0,5,0,0,5,8,10,10,10,0,0,5,0,9,7,0,6,5,5,5,5,5,5,8,3,5,7,4,6,0,3,3,0,3,0,5,5,0,0,2,0,5,0,0,3,40,70,5,14,4,25,3,4,2,NA,52,NA,1,1,NA,6,1,1,1,213,0
27-May-20,21673,UKRAINE,EN,10,0,10,10,10,10,10,10,10,10,7,9,4,9,3,100,0,0,6,4,0,1,1,10,7,8,9,10,4,4,9,7,8,1,9,8,1,10,7,3,8,10,7,9,3,1,3,4,2,6,3,1,1,1,1,4,4,3,1,10,5,1,0,4,6,0,0,1,10,50,80,7,3,5,25,3,7,2,NA,27,3,1,2,NA,6,1,1,1,213,0
27-May-20,1687,UKRAINE,EN,10,2,6,8,8,9,9,9,9,6,9,9,9,9,9,70,20,10,6,6,7,6,7,10,8,2,0,0,0,4,7,7,7,2,3,7,7,8,8,8,8,8,6,7,8,8,7,8,8,8,4,3,2,7,7,4,6,7,3,9,8,4,2,8,6,1,7,5,8,15,20,6,1,7,25,300,4,2,NA,37,1,0,2,NA,4,1,1,1,213,0
27-May-20,1651,UKRAINE,EN,10,8,10,9,10,0,0,10,10,10,10,10,8,10,10,60,30,10,2,2,9,10,10,10,10,1,1,3,2,0,10,10,10,0,1,10,7,10,9,9,10,10,6,10,6,5,5,9,7,10,8,9,4,5,10,4,5,1,5,10,10,9,0,6,5,0,0,0,10,40,45,3,16,4,25,3,7,2,NA,27,1,0,3,NA,8,1,1,1,213,0
27-May-20,1042,UKRAINE,EN,3,8,5,8,8,8,8,10,7,10,6,5,5,8,5,90,5,5,5,5,9,7,10,10,10,8,5,8,7,1,1,9,9,0,0,6,7,7,6,7,5,4,8,10,8,9,9,9,6,7,9,8,0,5,8,5,5,5,0,10,9,9,0,6,7,0,4,4,10,0,0,5,16,6,50,300,4,1,NA,33,3,3,1,NA,6,1,1,1,213,0
