RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;k1w_tested_positive;AttCheck_1bots;AttCheck2
1/05/20 16:27;Not available;Chile;SPA;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0,00;93,60;6,40;10;10;10;8;10;10;10;8;2;0;2;0;10;10;10;0;0;10;10;10;10;5;3;0;10;10;10;10;10;10;5;10;8;0;9;1;7;2;7;7;1;10;8;10;0;9;10;0;10;10;9;50;50;5;16;8;0,10;5;24;2;;63;1;0;1;Not available;8;1;1;2;213;0
1/05/20 16:32;Not available;Argentina;SPA;10;0;8;10;10;9;9;10;10;6;9;9;9;10;10;59,26;40,74;0,00;6;5;0;0;0;8;8;0;0;0;0;4;10;5;9;0;2;9;7;9;7;5;7;9;6;6;5;5;7;8;4;8;6;2;5;2;6;1;2;5;5;8;6;5;2;4;5;2;2;1;5;50;50;4;8;8;0,05;5;36;2;;27;2;0;1;Not available;6;1;1;1;213;0
1/05/20 16:33;Not available;Argentina;SPA;10;0;10;10;10;10;10;10;10;10;10;10;5;10;10;60,00;40,00;0,00;5;6;5;5;5;6;5;5;0;5;0;0;10;10;10;0;0;1;5;7;7;4;7;8;8;8;10;10;10;10;10;10;6;1;8;0;4;1;2;1;0;10;10;7;0;5;5;0;0;0;10;10;20;4;14;4;0,05;5;47;2;;43;3;2;1;Not available;7;1;1;1;213;0
1/05/20 16:50;Not available;Argentina;SPA;9;2;9;10;10;10;10;10;10;10;10;10;10;10;10;0,00;52,94;47,06;8;8;2;2;2;8;8;1;1;1;1;0;10;10;10;0;2;8;8;8;5;7;8;8;9;5;7;7;8;6;8;8;5;6;6;3;1;0;1;2;5;10;7;5;0;5;5;1;6;2;5;10;30;3;16;7;0,05;5;47;2;;47;1;0;1;Not available;9;1;1;1;213;0
1/05/20 16:59;Not available;Peru;SPA;9;2;9;9;9;9;9;10;9;10;9;10;8;9;8;16,67;66,67;16,67;6;6;5;5;7;10;10;0;0;0;0;7;10;10;10;0;0;9;9;7;8;5;3;2;10;7;7;7;9;7;7;9;5;1;8;5;6;2;8;7;1;9;8;1;0;7;5;6;5;4;8;20;30;3;9;4;0,10;100;24;1;;44;3;2;1;Not available;8;1;1;1;213;0
1/05/20 17:27;Not available;Colombia;SPA;10;0;10;10;10;10;0;10;10;10;10;10;10;10;10;0,00;68,35;31,65;8;8;5;5;10;10;10;0;0;0;0;5;10;10;0;5;0;10;10;10;10;5;10;10;8;10;10;7;7;10;7;10;0;7;10;0;0;0;10;5;0;10;10;10;0;8;10;0;5;5;9;50;0;7;16;6;0,10;100;24;2;;51;3;2;6;Not available;6;1;1;1;213;0
1/05/20 17:52;Not available;Colombia;SPA;10;0;8;10;10;10;10;10;3;5;10;10;10;10;10;70,00;30,00;0,00;8;8;7;5;5;10;10;5;5;5;5;4;10;8;7;0;2;8;9;9;9;2;4;5;10;10;10;10;10;10;1;7;7;5;10;1;5;3;8;5;2;10;10;7;0;5;7;1;8;7;9;80;80;8;1;9;0,10;5;24;2;;55;3;1;5;Not available;7;1;1;2;213;0
1/05/20 18:04;Not available;Argentina;SPA;10;0;10;10;10;8;8;10;8;8;10;10;10;10;8;100,00;100,00;0,00;7;7;4;0;4;10;8;0;0;0;0;4;10;10;9;0;0;10;10;10;10;10;0;0;6;5;8;8;10;8;6;9;8;0;9;7;5;5;4;5;7;10;9;6;0;7;7;2;9;7;8;80;70;3;14;8;0,10;5;24;2;;29;2;0;1;Not available;7;1;1;1;213;0
1/05/20 18:06;Not available;Argentina;SPA;9;0;10;9;9;9;9;5;8;10;10;10;6;10;10;95,56;2,22;2,22;6;5;5;2;0;5;1;0;0;0;0;0;10;10;10;0;2;5;10;10;10;5;0;0;5;8;8;10;8;10;5;8;8;7;7;4;2;0;5;3;0;9;7;5;2;3;5;5;5;2;6;50;100;2;16;7;0,10;5;47;2;;55;1;2;2;Not available;3;1;1;2;213;0
1/05/20 18:17;Not available;Argentina;SPA;10;1;10;9;10;7;7;10;10;10;10;10;10;10;10;0,00;100,00;0,00;6;8;2;2;4;10;8;0;0;0;0;0;10;9;9;0;2;4;10;10;10;10;1;1;8;8;9;9;9;9;6;7;6;6;8;3;3;0;3;3;0;10;9;4;0;5;6;0;5;6;9;40;20;4;3;7;0,05;5;47;2;;44;3;3;2;Not available;8;1;1;1;213;0
