;RecordedDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1;psych_wellbeing2;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;Conspiracy_theories_1;Conspiracy_theories_2;Conspiracy_theories_3;Conspiracy_theories_4;open_mindedness_1;open_mindedness_2;open_mindedness_3;open_mindedness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self.control_1;trait_self.control_2;trait_self.control_3;trait_self.control_4;self.esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;Moral_ID_1;Moral_ID_2;Moral_ID_3;Moral_ID_4;Moral_ID_5;Moral_ID_6;Moral_ID_7;Moral_ID_8;Moral_ID_9;Moral_ID_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
131;30/04/2020 18:54;3644;SENEGAL;FRENCH;1;0;8;8;10;9;9;10;10;8;9;9;6;7;10;0;100;0;6;5;6;6;4;10;10;5;0;0;1;7;9;10;10;0;0;6;8;NA;NA;NA;NA;NA;8;8;8;3;NA;8;6;10;1;0;10;5;5;7;6;6;2;9;6;5;4;7;NA;0;5;5;10;100;100;5;10;8;25;3;7;1;;42;3;4;1;;6;1;1;1;213;0
132;01/05/2020 00:13;112362;SENEGAL;FRENCH;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;80;15;5;7;7;10;10;10;10;10;5;0;5;5;0;0;10;10;0;0;10;10;10;10;0;10;10;9;9;10;10;10;10;10;10;7;0;10;0;10;0;0;8;0;10;10;5;0;5;5;0;5;5;10;20;10;5;9;9;25;1;6;1;;37;3;2;1;;6;1;1;1;213;10
133;01/05/2020 00:56;84000;SENEGAL;FRENCH;9;0;10;10;10;9;10;9;9;10;8;9;10;10;10;0;50;50;5;5;9;10;9;10;10;10;0;8;8;0;10;10;10;0;0;0;10;0;10;0;0;9;10;10;8;9;9;10;10;10;8;0;10;8;8;8;8;8;1;10;10;8;0;10;10;0;8;8;10;NA;NA;5;9;8;25;300;4;1;;40;3;5;1;;6;1;1;1;213;0
134;01/05/2020 02:18;1327;SENEGAL;FRENCH;8;2;8;9;10;9;9;9;9;9;8;8;8;7;9;70;30;0;7;7;9;9;10;10;10;2;2;2;2;9;8;8;8;2;2;6;6;9;9;4;4;4;8;7;8;8;8;9;6;8;2;2;7;2;2;2;2;2;2;7;7;3;7;4;6;6;7;7;7;40;60;2;6;8;50;100;16;1;;36;3;0;1;;7;1;1;1;213;7
135;01/05/2020 02:32;4748;SENEGAL;FRENCH;10;2;9;10;10;6;8;9;5;7;9;10;10;0;10;50;50;0;9;8;7;5;8;10;10;0;0;0;0;1;9;9;9;0;8;6;6;6;6;6;6;6;10;10;9;10;10;10;9;9;5;0;9;9;8;0;5;5;0;10;10;8;0;9;9;0;5;5;9;50;50;6;16;8;50;300;4;1;;37;2;2;1;;5;1;1;1;213;0
136;01/05/2020 02:36;1647;SENEGAL;FRENCH;10;0;10;10;10;9;10;10;10;8;10;10;10;10;10;75;25;0;7;6;5;5;4;10;10;0;0;0;0;2;10;10;10;0;1;5;8;9;8;5;1;0;7;7;4;5;6;6;9;10;8;0;10;3;3;1;0;5;0;10;8;3;0;5;6;0;8;8;10;50;50;1;15;9;50;300;4;2;;49;2;1;1;;5;1;1;1;213;8
137;01/05/2020 02:55;966;SENEGAL;FRENCH;10;0;10;10;10;5;5;6;5;NA;10;10;10;10;10;100;0;0;5;5;5;5;5;5;9;5;5;5;5;10;10;10;10;0;5;5;5;0;5;5;1;1;10;10;9;8;7;9;1;10;10;5;5;0;0;0;5;10;3;8;8;1;1;5;1;10;10;10;10;10;50;0;6;5;50;1;4;1;;49;3;3;1;;6;1;1;1;213;10
138;01/05/2020 15:23;3307;SENEGAL;FRENCH;10;2;10;8;10;8;9;9;9;9;10;10;10;10;10;0;90;10;3;4;1;5;4;10;10;5;5;5;5;0;10;10;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;9;8;1;8;2;8;0;0;5;0;10;8;0;0;5;5;0;2;5;10;10;80;5;16;4;50;300;4;2;;32;3;3;1;;8;1;1;1;213;0
139;01/05/2020 16:31;3107;SENEGAL;FRENCH;10;1;10;10;10;9;9;10;9;10;10;10;10;10;10;5;75;20;8;8;5;5;5;10;9;0;0;0;0;0;10;10;10;0;1;1;8;9;9;9;9;10;9;9;8;9;9;9;8;10;7;1;8;1;5;1;1;5;1;9;9;5;0;7;7;0;7;7;9;90;90;2;15;7;25;300;7;1;;54;3;3;1;;6;1;1;2;213;0
140;02/05/2020 13:32;431544;SENEGAL;FRENCH;9;0;8;8;10;8;8;8;8;8;10;7;6;10;10;25;50;25;5;5;8;8;8;10;10;5;0;5;5;5;10;10;10;0;0;6;8;8;7;9;5;5;9;9;7;7;7;7;9;9;3;1;9;5;8;5;10;8;0;10;9;6;0;10;6;0;5;10;10;50;70;7;6;7;50;5;8;2;;30;2;1;3;;6;1;1;1;213;0
