RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
2/05/2020 15:47;1823;COLOMBIA;ES;90;60;62;75;58;30;42;92;31;0;0;27;0;24;70;20;30;50;7;8;9;7;8;10;10;9;7;8;6;9;9;9;9;0;0;4;5;6;4;5;6;3;8;9;8;7;7;10;5;6;1;5;9;4;7;0;8;5;0;9;8;7;0;7;3;3;7;7;9;40;80;4;14;9;130;3;8;2;;15;1;0;4;;6;1;1;1;213;7
2/05/2020 15:48;1703;COLOMBIA;ES;95;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;8;8;0;5;;10;10;0;0;0;0;0;9;9;9;0;0;6;6;8;8;6;5;9;8;8;7;;;10;8;9;2;5;8;5;5;0;0;0;0;9;9;9;0;5;8;;;6;9;50;50;3;14;8;25;3;2;2;;22;1;0;4;;6;2;1;1;213;9
2/05/2020 15:51;1422;COLOMBIA;ES;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;7;6;5;5;5;10;10;10;10;10;10;1;10;10;10;0;0;10;10;10;10;5;5;0;8;8;7;8;9;10;5;9;5;6;8;1;5;0;10;5;1;10;9;5;0;8;5;1;5;0;5;90;90;5;5;8;25;300;0.5;2;;42;2;0;1;;5;1;1;2;213;6
2/05/2020 15:52;879;COLOMBIA;ES;100;0;100;100;100;100;100;100;85;88;100;100;100;100;100;20;70;10;4;7;8;5;5;10;10;4;2;3;4;0;10;10;10;10;9;7;8;8;8;8;10;8;7;10;8;9;9;8;2;5;8;10;8;3;8;0;10;8;0;10;8;10;0;7;5;0;0;6;10;20;60;5;5;7;;;;2;;19;2;0;4;;5;1;1;1;213;10
2/05/2020 15:52;1831;COLOMBIA;ES;100;0;100;100;100;28;15;100;21;64;27;100;29;100;100;100;0;0;2;3;0;5;4;6;0;7;0;0;0;0;10;10;10;0;0;7;8;10;10;8;5;10;7;10;2;2;7;10;3;5;7;10;2;2;6;5;10;10;6;10;10;9;0;8;0;0;8;7;10;70;90;3;3;5;25;3;4;2;;22;2;0;4;;7;1;1;1;213;3
2/05/2020 15:52;1142;COLOMBIA;ES;100;0;50;100;100;90;75;74;71;58;97;98;97;97;97;10;70;20;7;7;5;10;7;6;6;4;4;4;6;3;10;8;7;3;3;9;8;7;7;10;3;0;8;6;6;6;6;6;4;2;10;8;5;3;4;4;4;4;3;6;6;5;8;6;7;6;3;0;8;30;80;3;16;7;20;300;3;1;;23;1;0;4;;5;1;1;1;213;7
2/05/2020 15:54;1051;COLOMBIA;ES;90;0;31;0;0;100;100;100;100;100;0;100;;100;100;0;100;0;3;8;;;;;;2;2;0;0;0;10;10;10;0;0;10;8;9;7;;5;0;9;9;8;8;9;8;5;4;8;7;9;1;1;0;1;1;0;8;8;5;1;5;3;0;5;5;2;50;80;3;4;8;25;1;7;1;;29;1;0;1;;4;1;1;1;213;7
2/05/2020 15:55;1684;COLOMBIA;ES;100;10;100;100;100;80;100;100;80;80;100;100;100;100;100;0;100;0;7;9;10;5;8;10;10;5;2;0;5;1;10;10;10;0;0;0;0;0;7;0;5;5;8;9;6;9;9;10;6;7;9;6;6;2;0;0;5;2;0;10;10;5;0;8;8;0;0;2;9;90;10;5;14;7;25;3;4;1;;26;1;0;1;;6;1;1;2;213;4
2/05/2020 15:55;951;COLOMBIA;ES;95;5;100;95;100;80;90;100;80;100;61;100;;100;50;0;100;0;5;7;5;5;5;;;0;0;0;0;0;10;10;10;0;0;;;;;;5;;6;6;6;7;9;9;7;8;5;7;7;2;2;3;3;3;0;10;9;;0;6;6;0;8;7;8;10;20;4;16;7;;;;1;;40;3;2;1;;4;1;1;2;213;6
2/05/2020 15:58;1171;COLOMBIA;ES;90;2;74;100;93;73;84;87;97;97;75;23;77;79;79;40;0;60;6;7;5;5;5;8;8;0;3;4;3;7;8;8;9;2;8;8;1;7;5;;;;5;5;4;5;5;;4;1;7;6;5;7;5;7;3;5;5;7;7;3;2;2;1;7;2;2;5;40;80;5;5;3;125;3;7;1;;22;1;0;4;;6;1;1;1;213;7
