RecordDate;Duration_sec;ISO-3;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;SUM_GEN;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
15/05/2020 11:48;1646;ARE;EN;10;0;10;9;10;10;10;10;10;10;8;8;8;8;6;20;50;30;;10;7;9;0;10;10;10;8;8;10;10;0;10;10;10;7;10;0;0;0;0;0;0;0;10;10;10;10;8;10;8;10;10;0;0;10;9;9;9;9;7;8;8;9;0;8;8;0;10;10;10;70;40;10;7;10;50;300;8;2;;30;2;1;6;Entrepreneur;4;1;1;2;213;0
15/05/2020 14:06;2584;ARE;EN;10;0;4;10;10;10;10;10;10;10;10;10;8;10;10;80;10;10;;4;3;5;5;5;0;0;5;5;5;5;2;10;10;10;0;0;8;2;8;10;4;5;10;5;9;10;10;3;9;1;3;8;6;1;5;5;2;2;2;0;10;10;NA;0;8;6;0;3;9;7;30;70;5;16;7;50;300;4;2;;27;2;0;6;Transitioning;6;1;1;2;213;0
17/05/2020 00:35;3011;ARE;EN;10;0;10;10;10;10;10;9;6;7;6;6;6;6;6;60;20;20;;7;6;6;4;6;8;9;4;4;4;4;10;10;10;10;0;3;7;7;10;6;4;7;1;10;7;7;7;7;7;10;10;0;0;10;0;7;0;10;10;0;9;10;7;0;10;8;0;7;6;8;10;20;4;9;10;50;300 minutes;;1;;24;2;0;1;;5;1;1;1;213;0
17/05/2020 03:28;1374;ARE;EN;10;0;10;8;10;7;10;9;6;10;8;8;8;8;8;85;10;5;;8;10;7;7;7;0;0;5;5;5;5;5;10;10;10;5;0;10;10;10;10;5;0;0;10;10;10;10;10;10;10;9;10;2;8;0;5;5;10;10;5;10;10;5;0;5;5;0;0;0;10;50;50;0;6;9;;;;1;;22;1;0;4;;NA;1;1;2;213;5
17/05/2020 12:35;3841;ARE;EN;0;10;10;9;10;9;10;10;0;9;9;10;9;2;8;50;30;20;;1;1;9;8;9;9;9;4;2;2;1;2;10;10;10;2;10;8;8;9;9;9;10;9;10;9;9;9;9;9;10;9;2;1;9;9;10;1;9;9;2;9;10;9;1;9;9;1;1;9;9;10;0;10;10;3;50 cents;900 minutes;2 hours;1;;25;1;0;3;;6;2;1;2;213;7
17/05/2020 17:17;1847;ARE;EN;10;0;10;10;10;10;10;10;10;4;10;10;10;10;10;25;25;50;;2;9;9;9;10;8;8;10;3;0;8;3;10;1;10;2;2;2;10;10;10;10;2;7;10;10;7;7;8;9;10;10;0;0;5;2;8;2;7;8;0;10;10;7;0;9;7;0;8;10;10;0;60;10;10;10;50;900;5;2;;26;1;0;6;;6;1;1;1;213;10
18/05/2020 05:31;2470;ARE;EN;5;5;10;5;5;5;5;6;2;2;5;10;5;5;5;0;50;50;;5;6;10;0;7;5;9;5;5;5;5;5;0;10;10;5;3;9;10;8;9;10;10;10;8;9;5;5;5;7;5;5;5;2;9;5;5;0;5;8;0;10;9;10;0;10;8;0;10;7;10;0;10;5;16;5;50 cents;300 min;;1;;26;1;0;3;;6;1;1;1;213;0
18/05/2020 06:04;12882;ARE;EN;8;7;8;9;8;8;8;8;7;6;8;7;7;8;8;50;25;25;;7;8;8;9;8;7;9;5;5;5;5;8;8;8;8;5;1;8;8;8;8;5;7;8;8;8;8;8;9;8;8;8;1;1;5;7;8;6;8;7;5;8;8;8;1;8;8;1;5;8;9;0;10;5;10;9;Pen 50 cents;5 hours approximately to 300 minutes;;1;;24;1;0;3;;5;1;1;1;213;0
18/05/2020 07:03;2857;ARE;EN;10;2;9;8;10;9;9;10;8;9;10;10;9;9;10;60;30;10;;8;6;9;9;8;8;8;5;5;5;5;2;10;10;10;1;2;9;8;9;8;8;4;0;8;10;5;5;5;7;8;8;3;7;9;4;7;2;7;7;5;10;10;10;0;9;8;0;6;8;9;70;90;6;16;7;;;;2;;29;1;0;1;;6;1;1;1;213;7
18/05/2020 07:24;714;ARE;EN;3;9;6;8;9;8;8;8;2;8;8;8;7;8;8;30;20;50;;9;8;0;8;2;8;9;6;6;6;6;6;6;7;6;6;7;4;6;7;7;7;7;7;9;10;7;8;8;8;1;7;7;1;9;8;8;9;8;8;8;7;3;8;7;8;7;7;3;7;8;0;30;8;4;8;50;100;4;1;;28;1;0;3;;8;1;1;1;213;7
