"","RecordedDate","Duration_sec","Country","Language","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1","psych_wellbeing2","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","Conspiracy_theories_1","Conspiracy_theories_2","Conspiracy_theories_3","Conspiracy_theories_4","open_mindedness_1","open_mindedness_2","open_mindedness_3","open_mindedness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self_control_1","trait_self_control_2","trait_self_control_3","trait_self_control_4","self_esteem","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","Moral_ID_1","Moral_ID_2","Moral_ID_3","Moral_ID_4","Moral_ID_5","Moral_ID_6","Moral_ID_7","Moral_ID_8","Moral_ID_9","Moral_ID_10","risk_perception_1","risk_perception_2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marital_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"22","02/05/2020 16:57",1511,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,8,10,10,10,10,10,10,60,40,0,7,6,10,10,10,10,10,3,1,7,3,2,10,10,10,0,1,10,8,10,9,9,8,10,10,9,10,9,10,10,10,10,9,0,8,2,7,1,2,8,0,10,8,1,0,8,1,2,7,8,10,20,20,6,14,8,"25","100","7",1,"",41,3,3,1,"",5,1,1,2,"213",0
"23","02/05/2020 17:30",5764,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,8,5,10,10,10,10,10,60,30,10,9,7,5,8,3,10,8,4,6,7,5,3,NA,9,10,1,1,7,5,8,6,5,9,10,10,10,6,7,9,7,8,10,6,3,7,NA,5,0,NA,NA,NA,10,10,5,0,8,7,0,5,7,7,40,40,5,1,9,"50","3","",2,"",24,1,0,3,"",4,1,1,1,"213",0
"24","02/05/2020 17:30",2666,"MOROCCO","FRENCH",5,1,9,9,10,9,9,10,9,10,9,9,9,9,9,0,50,50,7,7,7,7,7,10,9,9,2,2,2,2,9,10,9,1,1,8,8,8,8,8,5,0,7,9,7,7,8,1,5,8,2,2,5,6,5,4,6,4,1,8,7,5,0,7,5,0,5,2,9,50,70,5,16,9,"50","300","4",1,"",29,1,0,1,"",4,1,1,2,"213",0
"25","02/05/2020 17:34",239,"MOROCCO","FRENCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",1,"",65,3,0,5,"",4,1,1,1,"deux treize",NA
"26","02/05/2020 17:34",2494,"MOROCCO","FRENCH",10,0,10,10,10,7,10,10,2,7,10,10,10,10,10,80,20,0,4,7,3,3,3,9,6,5,5,6,6,7,9,9,8,1,1,7,9,10,7,7,10,9,8,9,7,6,7,9,10,9,9,9,6,4,6,2,7,7,1,8,10,2,0,5,0,0,4,8,10,60,80,3,9,8,"25","3","7",2,"",43,3,2,6,"temporarily stopped working",6,1,1,1,"213",0
"27","02/05/2020 17:37",2714,"MOROCCO","FRENCH",6,0,8,8,8,6,7,7,6,7,8,8,6,10,10,33,34,33,6,6,4,7,7,10,8,3,3,4,3,3,7,7,8,2,2,5,5,7,8,5,5,7,7,5,7,7,7,7,7,8,2,4,7,0,5,0,5,0,0,7,7,2,0,5,6,3,3,3,5,10,10,5,14,9,"0","3","7",1,"",28,1,0,4,"",5,1,1,1,"213",0
"28","02/05/2020 17:37",1361,"MOROCCO","FRENCH",8,2,9,8,9,10,10,9,10,9,8,7,3,8,8,60,20,20,7,8,7,8,7,7,8,8,2,1,7,8,8,8,7,8,9,7,8,9,8,7,7,4,7,7,8,8,8,7,7,7,3,4,8,8,8,2,7,7,8,8,8,6,7,7,6,8,8,3,3,10,20,6,6,8,"50","3","8",2,"",26,2,0,4,"",6,1,1,1,"213",0
"29","02/05/2020 17:38",2203,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,8,10,10,10,10,10,0,60,40,7,6,9,6,8,10,10,10,6,6,5,1,10,10,10,0,0,10,8,7,10,7,7,10,8,10,7,7,7,10,8,10,0,0,5,0,0,0,5,0,0,10,10,6,0,10,8,1,8,9,10,40,60,5,16,7,"50","3","7",2,"",29,3,0,1,"",5,1,1,2,"213",0
"30","02/05/2020 17:40",1802,"MOROCCO","FRENCH",9,1,7,10,10,4,4,6,3,1,7,10,3,3,2,30,40,30,5,4,8,2,3,5,7,2,2,2,5,7,10,10,9,0,0,6,8,8,8,4,8,10,6,5,5,5,6,8,5,7,7,2,5,0,0,9,0,0,0,5,10,9,8,5,5,7,5,5,0,10,50,3,9,7,"","3","",1,"",56,3,2,3,"",7,1,1,1,"213",0
"31","02/05/2020 17:42",1472,"MOROCCO","FRENCH",10,1,10,10,10,10,10,10,7,10,10,10,10,10,10,60,20,20,3,7,10,7,10,10,10,8,8,8,10,7,10,9,10,2,9,1,5,0,NA,8,7,1,10,10,10,8,9,0,10,10,7,0,10,10,10,6,10,3,2,8,8,7,1,8,9,1,6,9,10,70,70,NA,16,6,"50","3","0",1,"",31,3,0,1,"",6,1,1,1,"213",0
