id,Country,Edu,SES,Minority,age,sex,mobile
4054,cn,5,8,2,26,2,1
4056,cn,6,6,2,37,1,0
4057,cn,5,6,2,47,1,0
4059,cn,6,7,2,45,1,0
4060,cn,6,5,2,36,2,1
4061,cn,6,7,2,26,2,1
4062,cn,4,5,2,48,1,1
4063,cn,6,4,2,29,2,0
4064,cn,6,3,2,35,2,1
4065,cn,,,,43,1,1
4068,cn,6,3,2,24,1,1
4069,cn,7,8,2,20,2,1
4070,cn,6,8,2,30,2,1
4071,cn,6,6,2,35,2,1
4073,cn,6,6,2,38,1,1
4074,cn,6,1,2,46,1,0
4075,cn,4,7,2,22,2,1
4076,cn,6,6,2,26,2,1
4077,cn,4,6,2,18,1,1
4078,cn,,,,24,1,1
4079,cn,,,,23,1,1
4080,cn,4,7,2,42,1,0
4082,cn,,,,40,2,0
4083,cn,6,3,2,35,2,1
4084,cn,6,2,2,27,2,1
4085,cn,7,8,2,36,1,0
4086,cn,6,6,2,41,1,0
4087,cn,,,,31,1,1
4088,cn,3,7,2,21,1,0
4089,cn,,,,32,2,1
4090,cn,5,5,2,19,1,1
5084,cn,4,5,2,18,2,1
5120,cn,7,7,2,24,2,0
5223,cn,5,3,2,19,2,0
5236,cn,6,8,2,39,1,1
5240,cn,5,7,,21,1,1
5241,cn,6,5,2,26,1,1
5242,cn,5,5,2,32,2,1
5247,cn,,,,21,2,1
5252,cn,7,6,2,21,2,1
5265,cn,,,,18,2,1
5267,cn,,,,20,1,1
5271,cn,7,8,2,26,2,1
5279,cn,6,7,2,34,2,1
5282,cn,,,,28,2,1
5303,cn,6,4,,18,2,1
5306,cn,,,,21,1,1
5308,cn,5,6,2,27,1,1
5312,cn,7,6,1,22,2,1
5318,cn,,,,18,1,1
5321,cn,7,6,2,25,2,1
5326,cn,6,10,2,26,2,1
5330,cn,,,,26,1,1
5332,cn,6,7,2,43,2,1
5342,cn,,,,20,1,1
5343,cn,4,6,2,35,1,1
5348,cn,6,6,2,31,2,1
5356,cn,,,,21,1,1
5360,cn,6,4,2,22,2,1
5363,cn,5,6,2,40,1,0
5364,cn,6,7,2,40,2,1
5370,cn,5,7,2,21,1,1
5382,cn,6,5,2,34,2,1
5383,cn,6,6,2,38,2,0
5384,cn,6,2,2,32,1,1
5388,cn,5,5,2,26,1,1
5389,cn,4,5,1,23,1,1
5391,cn,,,,19,1,1
5398,cn,6,5,2,35,2,1
5429,cn,6,6,2,32,2,1
5430,cn,6,7,2,32,2,1
6090,cn,6,6,2,26,1,1
6223,cn,4,10,2,18,1,1
6227,cn,6,6,2,26,2,1
6234,cn,4,6,2,24,2,1
6320,cn,3,4,2,23,2,1
6321,cn,,,,23,2,1
6333,cn,,,,24,1,1
6344,cn,,,,25,2,1
6438,cn,6,4,2,28,2,1
6456,cn,6,6,2,32,2,1
6460,cn,6,5,2,32,2,1
6470,cn,3,3,2,31,1,1
6487,cn,6,7,2,22,1,1
6512,cn,6,4,2,40,1,1
6521,cn,6,3,2,35,1,1
6524,cn,6,9,2,40,2,1
6550,cn,,,,18,2,1
6560,cn,6,7,2,30,2,1
6563,cn,6,6,1,19,1,1
6564,cn,6,5,2,32,2,1
6565,cn,6,7,2,32,2,1
6567,cn,6,7,2,30,2,1
6590,cn,4,4,2,33,1,1
6608,cn,,,,19,1,1
6619,cn,,,,46,1,1
6625,cn,6,6,2,32,2,1
6626,cn,6,6,2,32,2,1
6627,cn,6,6,2,36,2,1
6632,cn,6,3,2,30,2,1
6644,cn,6,6,2,36,2,1
6646,cn,6,7,2,31,2,1
6647,cn,4,6,2,33,1,1
6649,cn,6,3,2,38,2,1
6661,cn,6,5,2,37,1,1
6665,cn,6,5,2,36,2,1
6666,cn,4,5,2,35,2,1
6667,cn,7,5,1,20,2,1
6670,cn,6,5,2,32,2,1
6673,cn,6,7,2,32,2,1
6679,cn,6,3,2,39,2,1
6684,cn,6,5,2,36,2,1
6686,cn,6,4,2,28,1,1
6687,cn,6,4,2,28,1,1
6688,cn,7,5,2,27,2,1
6693,cn,6,6,2,43,1,0
6700,cn,4,6,1,39,2,1
6704,cn,5,5,2,33,2,1
6706,cn,4,6,2,33,1,0
6708,cn,4,4,,34,1,1
6710,cn,6,8,2,25,1,1
6712,cn,5,7,2,20,2,1
6715,cn,5,5,2,36,1,1
6716,cn,3,5,2,34,2,1
6718,cn,6,6,2,26,2,1
6721,cn,4,6,2,25,1,1
6722,cn,,,,25,1,1
6723,cn,6,8,2,25,2,1
6724,cn,,,,39,2,1
6725,cn,6,6,2,32,2,1
6726,cn,6,7,2,32,2,1
6728,cn,6,6,2,37,1,1
6729,cn,6,5,2,38,2,1
6731,cn,4,3,2,30,1,1
6803,cn,6,4,2,21,1,1
6894,cn,,,,20,2,1
6939,cn,,,,31,1,1
6974,cn,5,5,2,19,2,1
7003,cn,6,5,2,22,1,1
7041,cn,6,7,2,30,2,1
7179,cn,3,4,2,19,1,1
7203,cn,4,5,2,18,2,1
7224,cn,6,5,2,27,2,1
7282,cn,6,7,2,36,1,0
7352,cn,6,6,2,35,2,1
7400,cn,6,6,2,36,2,1
7465,cn,5,7,2,27,1,0
7483,cn,6,4,2,31,2,0
7523,cn,6,6,2,32,2,1
7529,cn,6,6,2,36,2,1
7534,cn,6,6,2,49,1,0
7538,cn,6,5,2,36,2,1
7557,cn,6,5,2,39,1,1
7610,cn,6,7,2,36,2,1
7623,cn,6,6,2,21,2,1
7639,cn,7,9,2,19,1,1
7654,cn,6,2,2,36,1,0
7666,cn,5,5,2,36,2,1
7669,cn,5,6,2,20,1,1
7682,cn,7,7,2,26,2,1
7688,cn,6,3,2,67,1,1
7690,cn,6,4,2,30,1,1
7701,cn,4,5,,24,1,1
7710,cn,7,6,2,32,2,0
7718,cn,4,1,2,27,1,1
7722,cn,6,4,2,20,2,0
7749,cn,3,5,2,35,1,1
7752,cn,6,7,2,22,2,1
7754,cn,6,7,2,56,1,1
7759,cn,4,3,2,59,1,1
7762,cn,6,6,2,24,2,1
7777,cn,3,3,2,18,1,1
7792,cn,7,5,2,30,1,0
7799,cn,,,,37,2,0
7810,cn,,,,18,2,1
7814,cn,4,5,2,37,2,1
7818,cn,,,,21,1,1
7820,cn,,,,43,2,1
7821,cn,,,,27,1,1
7822,cn,,,,29,1,1
7824,cn,7,8,1,31,1,1
7825,cn,,,,26,1,1
7828,cn,6,6,2,28,2,1
7831,cn,,,,31,1,1
7832,cn,6,6,2,35,1,1
7835,cn,6,7,2,28,2,1
7837,cn,6,6,2,38,1,1
7839,cn,,,,28,2,0
7841,cn,3,5,1,40,2,1
7842,cn,6,5,2,48,1,0
7845,cn,7,6,2,35,1,1
7848,cn,6,6,2,45,1,1
7851,cn,6,7,2,32,2,1
7852,cn,6,6,2,21,2,1
7859,cn,,,,28,2,1
7860,cn,7,8,2,24,2,1
7861,cn,6,4,2,32,2,1
7862,cn,5,3,2,23,1,1
7865,cn,,,,36,2,1
7869,cn,,,,32,2,1
7873,cn,5,9,2,36,2,1
7875,cn,6,5,2,36,2,1
7883,cn,6,9,2,36,2,1
7884,cn,6,5,2,41,2,1
7887,cn,,,,22,2,1
7890,cn,6,6,2,32,1,0
7891,cn,6,7,2,27,1,0
7894,cn,6,5,2,19,2,1
7896,cn,7,8,2,37,1,0
7897,cn,6,4,1,29,2,1
7898,cn,7,7,2,31,1,1
7900,cn,,,,26,1,1
7902,cn,4,7,2,26,1,1
7904,cn,6,5,2,36,2,1
7907,cn,,,,41,2,1
7909,cn,6,6,2,43,1,1
7910,cn,6,5,2,22,1,0
7914,cn,7,8,2,21,1,1
7915,cn,6,6,2,33,1,1
7919,cn,,,,28,1,1
7922,cn,5,7,2,39,1,1
7923,cn,5,5,,21,2,1
7929,cn,6,7,2,20,2,0
7933,cn,2,3,2,18,1,1
7935,cn,6,7,2,33,2,1
7936,cn,6,8,2,30,1,1
7938,cn,7,4,1,29,1,1
7940,cn,7,5,2,29,2,0
7942,cn,6,9,2,36,2,1
7943,cn,5,3,2,19,2,1
7949,cn,5,2,,45,2,1
7950,cn,6,7,2,29,1,1
7954,cn,,,,26,2,1
7955,cn,7,6,2,37,2,1
7956,cn,5,4,2,20,2,1
7958,cn,,,,41,2,1
7959,cn,6,7,2,29,1,1
7962,cn,4,7,2,21,1,1
7963,cn,,,,33,1,0
7964,cn,,,,27,1,1
7965,cn,7,5,2,36,2,1
7966,cn,6,5,2,36,2,1
7968,cn,6,5,2,30,1,0
7969,cn,,,,67,2,0
7973,cn,6,7,2,33,1,1
7976,cn,7,6,1,31,2,1
7978,cn,6,5,2,25,2,1
7982,cn,,,,20,2,1
7983,cn,5,6,2,38,1,1
7984,cn,6,5,2,36,1,0
7985,cn,6,7,2,32,2,1
7986,cn,5,6,2,30,1,1
7989,cn,,,,22,1,1
7991,cn,,,,22,1,1
7992,cn,5,5,1,19,2,1
7993,cn,,,,18,1,1
7994,cn,6,8,2,29,2,1
7995,cn,6,2,2,36,2,1
7996,cn,4,10,2,18,1,1
7997,cn,,,,21,1,1
7998,cn,,,,25,1,1
7999,cn,6,6,2,29,2,0
8001,cn,6,5,2,19,1,1
8002,cn,6,5,2,38,1,1
8004,cn,6,7,2,24,1,1
8005,cn,,,,26,1,0
8006,cn,,,,39,2,0
8007,cn,4,4,,19,1,1
8008,cn,,,,23,1,1
8009,cn,,,,28,1,1
8010,cn,4,5,2,40,2,1
8011,cn,4,6,2,30,1,1
8012,cn,4,5,2,18,2,1
8013,cn,5,4,2,21,2,1
8014,cn,5,7,2,31,2,1
8017,cn,,,,23,2,1
8018,cn,,,,30,2,1
8278,cn,4,7,2,19,1,1
8418,cn,7,7,2,30,1,0
8621,cn,5,4,2,25,2,1
8794,cn,,,,30,1,0
8942,cn,6,5,2,28,2,0
9010,cn,,,,20,1,1
9207,cn,7,7,2,24,2,1
9245,cn,,,,22,2,1
9632,cn,6,6,2,30,2,1
9843,cn,7,6,2,29,1,0
10021,cn,6,6,2,23,1,1
10068,cn,,,,19,2,1
10155,cn,,,,18,2,1
10263,cn,7,8,2,31,2,1
10271,cn,5,6,2,19,2,1
10290,cn,,,,21,2,1
10324,cn,5,5,2,18,2,1
10329,cn,6,5,2,27,1,0
10333,cn,6,6,2,30,1,0
10351,cn,6,5,2,34,1,0
10420,cn,4,4,2,32,1,1
10440,cn,6,7,2,23,2,1
10465,cn,6,6,2,30,2,1
10491,cn,,,,21,2,1
10511,cn,6,6,2,19,1,0
10534,cn,6,6,2,31,2,1
10604,cn,6,6,2,22,1,0
10605,cn,6,4,2,24,1,0
10610,cn,,,,22,1,1
10616,cn,,,,23,2,0
10670,cn,6,6,2,34,1,0
10671,cn,6,5,2,22,2,1
10678,cn,7,7,2,46,1,0
10699,cn,4,5,1,18,2,1
10710,cn,3,2,1,21,2,1
10712,cn,6,8,2,40,1,1
10714,cn,,,,35,2,1
10717,cn,7,5,2,42,1,0
10729,cn,,,,31,2,0
10730,cn,,,,27,2,0
10735,cn,6,4,2,30,1,1
10741,cn,6,9,2,28,2,1
10746,cn,4,5,2,24,2,1
10748,cn,6,7,2,26,1,0
10756,cn,3,1,1,33,2,1
10760,cn,5,5,2,25,1,1
10761,cn,7,4,2,36,1,0
10765,cn,,,,36,1,0
10770,cn,6,8,2,38,1,1
