"","condition","study_order","BL_adhere_1","BL_avoid_1","BL_avoid_2","BL_avoid_3","motiv_1","motiv_2","motiv_3","motiv_4","motiv_5","motiv_6","motiv_7","motiv_8","defy_1","defy_2","defy_3","defy_4","intention_1w","avoid_1w_1","avoid_1w_2","avoid_1w_3","intention_6m","avoid_6m_1","avoid_6m_2","avoid_6m_3","avoid_6m_4","avoid_6m_5","avoid_6m_6","avoid_6m_7","manip_1","r_manip_2","r_manip_3","age","gender","educ","essen_job","COUNID","month"
"9448","controlling_message","003_first",2,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,24,24,24,24,24,24,24,7,1,1,NA,"Female",3,NA,"KEN","August"
"9449","autonomy_message","003_only",3,4,3,4,2,6,6,6,2,1,5,6,1,2,2,2,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",5,NA,"FRA","August"
"9450","autonomy_message","001_first",6,7,6,7,1,6,1,6,2,1,5,7,1,2,1,5,4,7,6,6,20,24,24,24,24,24,24,16,4,6,6,NA,"Female",2,NA,"AUS","August"
"9451","controlling_message","003_first",3,2,6,3,2,4,5,5,3,5,5,6,2,3,2,3,3,2,6,3,12,0,0,24,24,0,4,24,5,2,1,NA,"Female",3,NA,"USA","August"
"9452","autonomy_message","003_only",5,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",4,2,"KEN","August"
"9453","controlling_message","003_first",5,6,1,7,1,1,1,1,1,1,7,7,7,1,1,1,7,1,1,1,18,24,24,24,20,24,20,24,1,7,7,NA,"Male",2,NA,"NGA","August"
"9454","controlling_message","001_first",7,7,7,7,7,7,7,7,2,6,7,7,1,1,1,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",5,NA,"EGY","August"
"9455","autonomy_message","001_first",6,6,6,6,4,7,6,6,3,5,6,7,2,3,6,2,7,5,6,7,6,0,1,4,6,12,4,4,5,6,4,NA,"Female",5,3,"AUT","August"
"9456","controlling_message","001_first",6,6,6,6,1,5,7,6,4,4,7,7,1,1,1,1,7,6,6,6,24,24,24,24,24,24,0,24,4,2,4,NA,"Female",5,NA,"POL","August"
"9457","autonomy_message","003_first",4,4,2,3,7,6,6,7,7,7,7,7,3,4,4,1,7,6,6,7,9,24,24,24,20,20,20,24,2,7,7,NA,"Male",1,NA,"KEN","August"
"9458","controlling_message","001_first",7,1,3,1,1,7,7,7,1,1,7,7,1,1,1,1,7,7,1,1,24,24,24,24,24,24,24,24,7,1,7,NA,"Female",2,NA,"ZAF","August"
"9459","no_message","003_first",7,5,1,1,1,6,7,7,6,7,7,7,6,5,4,1,6,7,6,7,24,24,14,24,24,24,24,24,4,7,5,NA,"Female",4,NA,"CHL","August"
"9460","controlling_message","001_first",7,7,7,6,7,7,4,7,1,1,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,4,4,NA,"Female",6,NA,"MEX","August"
"9461","autonomy_message","001_first",4,6,5,3,6,6,7,7,5,6,7,7,1,1,1,1,6,6,7,5,24,24,24,24,24,23,24,24,6,5,4,NA,"Female",5,1,"AUS","August"
"9462","controlling_message","003_first",7,7,7,7,6,7,7,7,7,6,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,6,24,2,2,3,NA,"Female",2,NA,"GBR","August"
"9463","no_message","003_first",6,6,3,4,5,5,6,3,6,6,4,4,4,3,4,5,4,7,2,4,5,0,1,6,9,5,5,0,2,3,3,NA,"Other",5,NA,"CHL","August"
"9464","autonomy_message","003_first",6,1,2,1,7,7,7,7,7,5,7,7,1,1,1,1,7,1,1,1,24,24,24,24,24,24,24,24,7,7,5,NA,"Female",5,NA,"CHL","August"
"9465","controlling_message","003_first",5,5,4,2,7,7,7,7,6,6,7,7,1,1,1,1,7,7,7,7,10,7,3,14,17,14,16,17,7,7,7,NA,"Male",5,2,"TUR","August"
"9466","no_message","003_first",4,5,5,6,4,5,7,7,6,6,5,4,3,4,5,4,6,6,6,7,24,24,20,24,23,24,24,24,3,3,3,NA,"Female",4,2,"HRV","August"
"9467","controlling_message","003_first",7,6,6,4,6,7,4,7,1,6,7,7,1,1,2,1,6,7,7,5,24,24,0,24,4,2,24,24,4,1,7,NA,"Female",5,NA,"ROU","August"
"9468","no_message","001_first",6,6,7,6,6,7,7,7,3,7,7,7,2,4,4,3,7,7,7,6,22,24,23,24,20,23,24,24,7,3,2,NA,"Male",5,1,"NGA","August"
"9469","no_message","003_first",6,5,7,6,5,6,3,7,3,4,6,7,1,3,2,2,6,3,7,7,20,24,12,24,22,18,24,24,5,5,3,NA,"Female",3,NA,"IRAN","August"
"9470","no_message","003_first",5,7,5,2,4,7,7,7,1,1,7,7,1,3,7,1,6,7,5,5,10,24,20,24,10,20,15,24,5,6,3,NA,"Female",3,2,"NGA","August"
"9471","controlling_message","001_first",6,6,6,7,5,5,7,6,6,5,6,7,1,2,1,1,6,6,7,7,24,24,4,24,24,24,6,24,7,7,2,NA,"Male",4,NA,"POL","August"
"9472","autonomy_message","001_first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,"AUT","August"
"9473","controlling_message","001_first",7,7,7,6,7,7,7,7,6,7,7,7,6,6,6,5,7,1,1,3,24,11,24,24,24,20,14,24,5,5,2,NA,"Female",3,NA,"KEN","August"
"9474","no_message","001_first",6,7,7,7,4,7,6,7,5,5,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,NA,"Female",2,3,"KEN","August"
"9475","autonomy_message","001_first",7,7,6,7,7,7,6,7,1,5,7,7,1,1,4,3,7,7,7,7,24,20,13,24,19,24,22,18,7,6,4,NA,"Female",2,NA,"ZAF","August"
"9476","autonomy_message","001_first",5,3,5,6,6,1,1,5,5,5,6,7,5,7,4,4,3,7,5,3,4,5,2,4,4,1,2,1,6,4,2,NA,"Female",1,1,NA,"August"
"9477","autonomy_message","001_first",3,4,5,7,3,5,5,5,5,3,6,6,2,3,5,2,6,5,6,7,12,24,1,24,3,24,12,24,5,5,5,NA,"Male",2,NA,"HRV","August"
"9478","autonomy_message","001_first",3,1,5,7,2,6,2,6,1,2,7,7,1,5,2,1,4,2,6,7,24,24,0,24,24,24,0,0,7,7,5,NA,"Male",2,NA,"HRV","August"
"9479","no_message","001_first",4,4,2,2,3,6,7,7,7,7,6,7,5,5,4,4,5,3,7,7,24,24,12,24,24,24,24,24,6,7,4,NA,"Male",6,NA,NA,"August"
"9480","autonomy_message","001_first",7,7,7,7,6,7,7,7,7,7,7,7,1,1,3,1,7,7,7,7,6,6,8,8,7,7,7,8,6,1,3,NA,"Male",2,3,"KEN","August"
"9481","controlling_message","003_first",7,7,7,7,4,7,6,7,4,5,7,7,1,1,1,1,7,7,7,6,24,24,24,24,24,24,12,24,2,2,4,NA,"Female",2,NA,"POL","August"
"9482","controlling_message","003_first",7,7,3,4,1,5,7,7,5,7,6,7,1,1,1,1,7,5,1,1,24,24,4,6,24,4,0,4,7,1,1,NA,"Female",2,NA,"GBR","August"
"9483","controlling_message","003_first",3,5,4,1,3,7,6,6,3,7,7,7,2,1,1,1,6,7,7,7,6,24,24,10,24,24,24,24,6,7,7,NA,"Male",3,NA,"KEN","August"
"9484","autonomy_message","001_first",5,6,5,6,6,7,5,4,2,5,7,6,1,1,1,3,6,6,2,2,12,22,10,24,20,22,23,24,7,1,1,NA,"Male",6,2,"MEX","August"
"9485","controlling_message","001_first",6,2,2,4,1,7,7,7,4,4,7,7,1,1,1,1,6,7,7,7,24,6,9,24,20,24,22,24,NA,NA,NA,NA,"Female",4,NA,"KEN","August"
"9486","no_message","001_first",4,4,4,6,2,7,7,7,4,1,6,7,1,1,1,1,6,6,6,7,24,24,0,24,24,24,0,24,6,7,6,NA,"Female",5,NA,"HRV","August"
"9487","no_message","003_first",7,7,7,7,7,7,7,7,7,6,7,7,1,1,1,1,7,7,7,7,24,24,24,NA,15,12,18,24,7,3,3,NA,"Male",2,3,"ZAF","August"
"9488","no_message","003_first",6,6,7,5,4,7,5,7,1,6,5,7,1,2,1,4,7,7,7,7,24,22,24,23,24,24,18,24,5,5,7,NA,"Male",1,1,"GBR","August"
"9489","no_message","003_first",1,1,1,7,2,2,1,3,3,5,4,5,2,4,5,2,3,3,4,7,4,24,4,8,4,24,3,1,5,3,5,NA,"Female",5,NA,"RUS","August"
"9490","no_message","003_first",1,2,4,4,1,1,2,3,7,5,2,4,4,5,5,5,1,1,4,3,2,1,0,6,2,0,3,0,4,4,4,NA,"Female",2,3,"HRV","August"
"9491","controlling_message","003_only",7,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",2,NA,"CHL","August"
"9492","controlling_message","003_first",5,5,6,4,5,5,3,4,3,6,6,6,7,5,5,3,3,6,5,7,24,10,20,20,24,24,20,NA,5,2,5,NA,"Female",4,NA,"TWN","August"
"9493","controlling_message","003_first",6,6,7,5,1,6,4,7,2,1,7,7,1,2,4,1,7,7,1,3,24,0,0,0,0,1,0,0,7,3,4,NA,"Male",3,NA,"MEX","August"
"9494","autonomy_message","003_first",3,2,6,5,4,5,6,4,5,4,4,4,2,4,5,3,4,4,6,6,NA,3,1,5,24,20,15,0,5,4,3,NA,"Female",4,NA,"AUT","August"
"9495","autonomy_message","001_first",7,7,5,7,5,7,7,7,1,1,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,NA,"Female",5,3,"KEN","August"
"9496","controlling_message","003_first",3,4,6,6,1,5,3,6,1,1,5,7,2,2,1,4,5,3,7,4,24,12,0,22,24,10,24,24,4,1,3,NA,"Male",4,NA,"AUT","August"
"9497","autonomy_message","003_first",7,6,7,7,4,6,6,7,2,2,7,7,1,1,1,1,7,7,7,7,24,24,24,10,24,24,8,24,4,7,7,NA,"Female",4,NA,"KEN","August"
"9498","controlling_message","003_first",7,7,7,3,7,7,7,7,3,5,7,7,7,7,7,6,7,1,1,5,2,2,0,0,0,1,1,0,6,2,2,NA,"Male",5,1,"NGA","August"
"9499","autonomy_message","001_first",2,5,6,5,5,6,7,6,5,5,6,7,1,2,2,1,5,3,6,5,6,24,12,22,24,20,12,24,7,3,3,NA,"Male",2,NA,"POL","August"
"9500","no_message","001_first",6,6,6,6,6,5,5,5,7,7,6,5,1,1,1,1,7,7,7,7,8,8,8,24,8,8,4,24,7,1,7,NA,"Male",5,NA,"JPN","August"
"9501","autonomy_message","003_first",7,7,3,4,7,7,7,7,6,7,7,7,1,1,1,1,7,1,1,3,24,24,24,24,24,24,24,24,5,7,7,NA,"Male",5,NA,"EGY","August"
"9502","autonomy_message","001_first",5,5,3,2,4,4,5,5,3,5,7,7,5,3,4,5,7,6,3,1,12,24,20,24,21,23,10,24,6,4,5,NA,"Female",5,3,"EGY","August"
"9503","controlling_message","003_first",7,2,6,7,7,7,7,6,6,7,7,6,4,5,6,6,7,7,6,7,2,9,4,24,10,4,12,17,7,1,1,NA,"Male",5,1,"CHL","August"
"9504","autonomy_message","001_first",6,6,7,6,1,6,2,7,1,1,7,7,1,1,1,1,7,6,7,7,24,24,15,24,24,20,6,1,6,7,5,NA,"Female",5,NA,"NGA","August"
"9505","autonomy_message","003_first",6,5,7,5,6,5,6,5,1,6,6,6,1,1,1,1,7,7,7,7,20,24,20,24,24,20,23,24,6,7,7,NA,"Male",2,NA,"RUS","August"
"9506","autonomy_message","001_first",7,7,7,7,4,7,7,7,4,1,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,4,3,NA,"Female",3,3,"MEX","August"
"9507","no_message","003_first",3,2,3,3,3,5,6,5,3,3,6,6,1,5,5,1,1,1,3,3,9,20,0,10,10,17,20,24,6,5,3,NA,"Female",2,3,"HRV","August"
"9508","autonomy_message","001_first",6,7,7,7,7,7,7,7,5,6,7,7,1,2,2,2,7,7,7,7,24,24,24,24,24,24,10,24,6,3,4,NA,"Female",5,NA,"ZAF","August"
"9509","no_message","003_first",6,6,6,6,6,4,2,5,6,7,7,7,1,5,5,3,7,7,7,7,24,24,24,24,24,24,24,24,6,1,2,NA,"Male",2,3,"RUS","August"
"9510","autonomy_message","003_first",2,4,3,2,2,4,1,4,5,2,4,6,4,1,1,5,1,2,6,4,0,0,1,3,24,24,24,24,5,4,3,NA,"Male",2,NA,"CZE","August"
"9511","controlling_message","001_first",5,4,6,7,6,6,7,7,6,6,6,6,1,5,4,5,6,6,7,7,7,24,6,18,12,20,24,24,4,4,4,NA,"Female",5,3,"TUR","August"
"9512","controlling_message","001_first",6,4,4,5,1,7,7,7,1,7,7,7,1,1,2,1,6,6,6,6,24,24,2,24,24,24,5,24,7,7,7,NA,"Female",2,NA,"HRV","August"
"9513","autonomy_message","001_first",5,5,7,7,5,7,7,6,1,3,7,7,1,1,1,1,6,5,7,7,24,24,0,24,24,24,20,24,3,7,3,NA,"Female",5,3,"SRB","August"
"9514","controlling_message","003_first",5,6,2,1,7,7,7,7,1,7,7,7,1,1,1,1,6,7,3,1,5,24,7,0,0,1,7,0,5,3,3,NA,"Female",1,NA,"KEN","August"
"9515","controlling_message","001_first",6,5,6,4,5,6,5,6,3,6,6,6,1,2,2,1,6,7,6,6,12,22,20,19,18,21,24,24,6,4,4,NA,"Female",2,NA,"CHN","August"
"9516","autonomy_message","001_first",2,2,5,2,6,4,6,2,6,7,6,7,1,7,6,2,2,1,5,3,4,4,0,8,8,24,24,8,4,6,2,NA,"Female",2,3,"HRV","August"
"9517","no_message","001_first",6,7,6,2,1,7,7,7,2,1,7,7,1,6,1,3,7,7,6,7,24,0,0,0,0,0,0,0,3,6,2,NA,"Female",2,NA,"BRA","August"
"9518","autonomy_message","003_first",7,1,1,1,5,7,7,7,6,1,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,NA,"Male",5,NA,"MEX","August"
"9519","autonomy_message","003_first",7,7,7,1,7,7,7,7,1,7,7,7,1,1,1,1,7,7,1,1,24,24,15,24,24,24,5,24,7,7,7,NA,"Male",4,NA,"EGY","August"
"9520","autonomy_message","003_first",2,1,3,2,1,2,1,2,1,1,2,3,4,4,4,1,7,7,4,5,3,7,0,3,2,2,7,24,7,7,7,NA,"Female",2,NA,"HRV","August"
"9521","controlling_message","001_first",1,1,4,1,1,2,2,2,2,2,3,6,2,5,7,2,1,2,5,3,24,24,8,24,24,24,24,24,2,4,5,NA,"Female",5,NA,"HRV","August"
"9522","autonomy_message","003_first",5,6,6,7,7,7,7,7,7,4,7,7,1,1,1,1,7,7,7,7,24,24,24,24,12,24,24,24,7,6,7,NA,"Female",2,NA,"ROU","August"
"9523","controlling_message","001_first",6,7,6,6,5,5,4,6,5,6,6,6,1,2,4,2,6,7,6,6,24,24,24,20,20,24,20,15,4,3,3,NA,"Male",5,NA,"JPN","August"
"9524","controlling_message","001_first",6,6,7,5,1,7,7,7,1,6,7,7,1,1,1,1,7,6,7,6,24,15,20,24,24,18,20,24,4,5,4,NA,"Female",2,3,"SWE","August"
"9525","autonomy_message","001_first",7,7,7,7,1,7,4,7,1,1,6,7,1,1,1,1,6,7,7,7,20,24,22,24,22,24,24,24,7,7,7,NA,"Female",4,NA,"POL","August"
"9526","no_message","001_first",6,6,6,6,5,5,5,6,5,5,6,6,4,4,4,4,4,6,6,6,24,24,24,24,20,24,8,24,4,4,4,NA,"Female",2,NA,"JPN","August"
"9527","controlling_message","003_first",6,7,5,4,6,6,5,6,6,5,7,7,1,4,1,1,6,6,6,6,24,24,10,12,24,10,4,24,7,7,6,NA,"Female",1,2,"ROU","August"
"9528","autonomy_message","001_first",6,4,3,6,1,6,4,6,5,4,7,7,1,4,1,3,7,5,7,7,24,24,24,24,24,24,24,24,7,4,4,NA,"Female",2,NA,"POL","August"
"9529","autonomy_message","001_first",6,6,6,7,1,6,6,7,2,2,7,7,1,1,1,1,6,6,6,6,24,24,20,20,20,20,24,24,5,7,7,NA,"Female",2,3,"CHN","August"
"9530","no_message","003_first",7,1,2,3,7,7,7,7,6,2,7,7,4,7,4,3,3,2,3,5,7,13,9,14,14,6,6,8,4,3,4,NA,"Male",5,NA,"CHL","August"
"9531","controlling_message","003_first",7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,5,4,6,7,8,8,NA,7,3,6,7,1,1,NA,"Male",4,NA,"NGA","August"
"9532","autonomy_message","001_first",7,7,7,7,2,6,7,7,1,2,4,7,1,4,2,1,7,6,7,7,24,24,24,24,24,24,24,24,5,7,4,NA,"Female",3,NA,"GBR","August"
"9533","no_message","003_only",7,6,1,1,5,7,7,7,7,6,7,7,1,6,6,6,6,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",5,1,"USA","August"
"9534","no_message","003_first",6,6,7,7,2,4,4,6,1,1,6,7,1,2,1,1,6,6,7,7,18,24,12,16,24,18,24,24,4,6,3,NA,"Male",6,NA,"MEX","August"
"9535","controlling_message","003_first",6,7,6,7,2,7,7,7,2,2,7,7,1,1,1,1,5,7,7,5,24,24,20,20,24,20,12,24,2,1,6,NA,"Female",4,NA,"GBR","August"
"9536","autonomy_message","001_first",7,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",5,3,"KEN","August"
"9537","autonomy_message","001_first",6,6,7,4,4,7,6,7,5,5,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,6,5,6,NA,"Female",5,NA,"POL","August"
"9538","controlling_message","001_first",4,3,2,5,5,6,5,6,3,4,6,6,5,5,7,5,4,6,6,6,2,2,1,4,1,2,3,4,6,3,3,NA,"Male",5,NA,"NGA","August"
"9539","no_message","003_first",6,2,5,3,4,6,6,6,3,5,6,6,1,2,2,2,6,2,5,4,24,24,2,24,24,24,24,24,4,2,3,NA,"Male",2,NA,"HRV","August"
"9540","autonomy_message","001_first",7,7,7,7,5,2,4,5,6,6,7,7,1,1,1,1,3,7,7,7,24,24,24,24,24,24,24,24,3,4,7,NA,"Male",2,2,"GBR","August"
"9541","autonomy_message","001_first",5,5,5,7,4,6,6,7,5,6,6,6,1,3,2,1,6,6,7,7,24,24,20,24,24,20,15,24,2,6,3,NA,"Female",2,1,"HRV","August"
"9542","autonomy_message","001_first",7,6,6,6,5,6,6,7,5,5,6,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,2,3,5,NA,"Male",5,NA,"GBR","August"
"9543","controlling_message","003_first",3,2,4,2,4,6,5,6,4,6,6,6,2,2,4,2,6,2,2,2,24,23,23,24,24,22,23,24,6,6,6,NA,"Female",5,3,"NGA","August"
"9544","autonomy_message","003_first",6,2,2,3,2,7,2,4,1,1,7,7,1,1,1,1,5,5,5,6,24,24,0,24,6,0,24,24,7,7,7,NA,"Female",4,NA,"SWE","August"
"9545","controlling_message","003_first",6,7,1,6,7,7,7,7,7,7,7,7,2,6,5,5,7,7,7,7,24,24,24,24,24,24,24,24,7,6,7,NA,"Male",1,NA,"ZAF","August"
"9546","no_message","001_first",7,6,6,5,2,6,7,7,4,4,7,7,1,1,1,1,7,6,7,6,24,24,24,24,24,24,24,24,6,7,6,NA,"Male",3,3,"GBR","August"
"9547","controlling_message","003_first",6,3,3,5,1,7,7,7,7,2,7,7,1,2,1,1,7,7,6,7,6,23,8,7,18,20,10,24,2,7,7,NA,"Male",6,NA,"KEN","August"
"9548","controlling_message","001_first",2,6,7,2,2,4,4,4,4,4,4,4,1,1,1,1,2,2,3,6,2,24,24,6,1,6,12,24,6,6,3,NA,"Female",2,NA,"HRV","August"
"9549","no_message","003_first",5,5,7,6,2,5,4,6,2,5,6,7,2,1,2,1,6,7,7,7,23,23,12,24,24,24,23,1,6,7,5,NA,"Female",6,NA,"DEU","August"
"9550","autonomy_message","001_first",4,2,1,1,7,7,7,7,2,2,7,7,1,1,1,1,2,1,1,1,NA,24,2,24,2,24,2,2,7,6,7,NA,"Female",6,2,"NGA","August"
"9551","autonomy_message","001_first",7,7,7,7,1,7,7,7,4,4,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,7,7,NA,"Male",6,2,"NGA","August"
"9552","controlling_message","003_first",6,6,6,7,1,7,3,7,1,1,7,7,5,5,5,5,7,7,6,7,24,24,24,24,24,24,24,24,7,3,4,NA,"Male",4,NA,"KEN","August"
"9553","controlling_message","001_first",1,5,7,6,4,7,6,7,2,4,7,7,3,3,3,3,3,1,7,1,24,24,24,24,24,24,24,24,3,2,2,NA,"Female",5,NA,"GBR","August"
"9554","no_message","001_first",6,7,7,6,3,6,5,6,2,2,6,7,1,2,1,2,7,7,7,6,24,4,24,10,24,3,1,24,6,6,5,NA,"Female",2,3,"IRAN","August"
"9555","controlling_message","003_first",4,4,6,7,7,7,7,7,7,7,4,7,5,7,5,6,6,6,7,7,13,13,2,24,13,24,24,2,1,1,1,NA,"Female",3,NA,"AUS","August"
"9556","no_message","001_first",5,6,7,6,2,3,4,6,3,4,6,6,2,2,1,4,6,6,7,5,16,10,4,20,24,10,12,24,6,2,2,NA,"Male",6,NA,"GBR","August"
"9557","controlling_message","003_first",6,2,2,1,7,7,7,7,1,7,7,7,2,2,3,1,6,6,7,7,8,24,20,23,10,24,2,24,6,3,3,NA,"Male",3,NA,"NGA","August"
"9558","autonomy_message","003_first",NA,5,5,7,7,7,7,7,5,3,7,7,3,5,3,3,6,6,5,7,24,24,19,24,15,24,24,24,7,5,4,NA,"Male",3,NA,"EGY","August"
"9559","controlling_message","003_first",7,7,7,7,7,7,7,7,1,1,7,7,1,1,1,1,7,7,7,7,24,24,23,23,24,24,23,24,1,7,7,NA,"Female",3,NA,"ZAF","August"
"9560","controlling_message","001_first",5,6,2,2,6,6,6,6,6,6,6,6,4,4,4,4,6,6,7,6,0,1,1,1,1,1,10,0,4,4,4,NA,"Female",6,NA,"MEX","August"
"9561","no_message","003_first",5,6,7,7,7,7,7,7,6,1,7,7,5,6,5,3,6,6,7,7,24,24,24,24,24,24,24,24,6,3,6,NA,"Male",3,NA,"KEN","August"
"9562","autonomy_message","003_first",6,6,7,7,5,6,7,7,5,7,7,7,1,2,1,1,4,6,7,7,24,24,24,24,24,24,24,24,6,4,4,NA,"Female",2,3,"CHL","August"
"9563","controlling_message","001_first",5,7,7,2,4,7,5,7,1,4,7,7,5,4,3,3,7,6,7,6,24,24,24,24,24,5,8,24,7,7,5,NA,"Male",2,NA,"NGA","August"
"9564","controlling_message","003_first",4,4,4,4,5,7,7,7,6,6,7,7,6,7,7,5,5,5,6,6,2,3,2,4,4,3,5,3,2,6,4,NA,"Female",2,NA,"TUR","August"
"9565","controlling_message","001_first",5,6,7,3,1,5,4,5,3,1,7,7,1,1,4,3,5,3,NA,4,12,20,3,15,24,4,24,4,2,2,3,NA,"Female",6,NA,"DEU","August"
"9566","controlling_message","001_first",7,7,7,7,7,7,7,7,1,7,7,7,1,1,1,1,7,7,7,7,23,24,24,24,24,24,24,24,1,7,7,NA,"Male",3,3,"KEN","August"
"9567","controlling_message","003_first",5,5,2,2,5,6,4,6,3,6,7,6,5,2,2,4,4,6,4,4,2,0,1,24,5,4,3,0,4,4,4,NA,"Female",3,NA,"MEX","August"
"9568","controlling_message","003_only",2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",5,NA,"NGA","August"
"9569","controlling_message","003_first",5,4,5,5,2,7,6,7,3,5,7,7,1,1,1,1,7,6,7,6,12,12,2,24,24,12,24,24,3,7,6,NA,"Female",5,NA,"CZE","August"
"9570","autonomy_message","001_first",6,4,6,2,1,7,7,7,6,4,7,7,1,2,3,4,7,4,5,3,2,10,0,2,5,0,10,1,7,7,4,NA,"Male",2,NA,"KEN","August"
"9571","autonomy_message","001_first",7,6,3,3,7,6,6,7,5,7,7,7,1,1,2,1,7,4,6,6,24,20,12,24,15,24,24,24,7,3,4,NA,"Female",5,NA,"TWN","August"
"9572","controlling_message","003_first",6,6,7,7,1,7,7,7,1,6,7,7,1,1,1,7,7,7,7,7,24,24,24,3,24,24,10,24,6,7,5,NA,"Male",5,3,"KEN","August"
"9573","autonomy_message","003_first",6,7,7,7,4,6,4,7,4,4,6,6,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,4,4,NA,"Female",6,2,"GBR","August"
"9574","autonomy_message","003_first",1,5,5,5,1,1,5,3,4,4,4,5,3,2,4,6,5,3,3,3,0,0,0,1,1,0,2,0,4,7,5,NA,"Male",2,NA,"HRV","August"
"9575","controlling_message","003_first",5,6,3,3,7,7,7,7,1,4,7,7,1,3,1,1,6,2,3,3,24,8,2,12,3,1,4,11,7,1,2,NA,"Female",2,NA,"ZAF","August"
"9576","autonomy_message","001_first",6,5,5,5,7,7,7,NA,7,7,7,7,1,1,1,1,5,4,5,7,24,24,24,24,24,24,24,24,1,7,7,NA,"Female",4,NA,"TUR","August"
"9577","autonomy_message","001_first",7,7,7,2,7,7,7,7,5,5,7,7,1,2,1,1,7,7,7,7,24,24,24,24,24,24,24,24,2,6,6,NA,"Male",3,NA,"ZAF","August"
"9578","no_message","001_first",7,7,7,7,4,5,6,6,7,3,7,7,6,6,6,7,7,6,7,6,24,24,20,24,24,24,24,24,6,1,3,NA,"Female",4,3,"CHL","August"
"9579","no_message","003_first",5,6,7,7,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,6,5,24,5,24,24,24,24,24,4,4,4,NA,"Female",2,NA,"CHE","August"
"9580","controlling_message","001_first",6,7,2,1,7,6,7,7,5,7,7,7,2,3,5,2,7,6,4,1,24,24,24,24,24,24,24,24,6,7,7,NA,"Male",2,NA,NA,"August"
"9581","controlling_message","003_first",5,4,3,1,1,6,6,7,1,2,7,7,1,1,1,1,6,6,2,1,20,24,15,24,20,24,24,24,6,6,6,NA,"Female",5,NA,"EGY","August"
"9582","autonomy_message","003_first",6,1,1,2,1,7,7,1,1,1,7,7,1,1,1,1,7,1,1,1,2,6,7,24,4,1,1,1,7,7,7,NA,"Male",3,NA,"KEN","August"
"9583","no_message","001_first",5,7,6,2,6,7,7,6,5,5,6,6,2,5,6,5,7,6,6,7,5,5,10,24,20,24,4,24,6,1,1,NA,"Male",5,NA,"NGA","August"
"9584","no_message","001_first",6,7,6,6,4,7,7,7,4,4,6,7,1,2,3,1,7,6,7,7,24,24,20,24,24,24,24,0,7,6,6,NA,"Female",6,2,"GBR","August"
"9585","controlling_message","003_first",4,5,2,3,3,5,5,5,4,5,5,6,1,3,1,1,6,4,4,3,20,24,10,24,20,20,24,24,3,4,3,NA,"Male",6,NA,"RUS","August"
"9586","no_message","003_first",7,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24,24,24,24,24,24,24,24,5,3,3,NA,"Male",7,2,"TUR","August"
"9587","no_message","001_first",7,2,2,2,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,20,24,7,1,1,NA,"Female",2,NA,"ZAF","August"
"9588","no_message","001_first",5,3,4,5,3,5,5,5,3,5,6,6,5,4,3,3,2,2,4,7,12,4,3,6,9,3,24,0,3,5,6,NA,"Female",2,NA,"CHN","August"
